Name,District,No,Party,KeywordList
सबिन सिग्देल,काठमाडौं,1,प्रगतिशील लोकतान्त्रिक पार्टी,"""सबिन सिग्देल"" काठमाडौं 1|""सबिन सिग्देल"""
समिर  लामा तामाङ ,काठमाडौं,1,श्रम संस्कृति पार्टी,"""समिर  लामा तामाङ "" काठमाडौं 1|""समिर  लामा तामाङ """
राज कुमार लिम्‍बु,काठमाडौं,1,मितेरी पार्टी नेपाल,"""राज कुमार लिम्‍बु"" काठमाडौं 1|""राज कुमार लिम्‍बु"""
धनराज शाही,काठमाडौं,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""धनराज शाही"" काठमाडौं 1|""धनराज शाही"""
मंग लाल श्रेष्‍ठ,काठमाडौं,1,उज्यालो नेपाल पार्टी,"""मंग लाल श्रेष्‍ठ"" काठमाडौं 1|""मंग लाल श्रेष्‍ठ"""
इन्द्र प्रसाद श्रेष्ठ,काठमाडौं,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""इन्द्र प्रसाद श्रेष्ठ"" काठमाडौं 1|""इन्द्र प्रसाद श्रेष्ठ"""
अर्जुन बहादुर शाही,काठमाडौं,1,नेपाल जनसेवा पार्टी,"""अर्जुन बहादुर शाही"" काठमाडौं 1|""अर्जुन बहादुर शाही"""
सुरेन्‍द्र पाण्‍डे,काठमाडौं,1,समावेशी समाजवादी पार्टी,"""सुरेन्‍द्र पाण्‍डे"" काठमाडौं 1|""सुरेन्‍द्र पाण्‍डे"""
कमल सुवेदी,काठमाडौं,1,जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),"""कमल सुवेदी"" काठमाडौं 1|""कमल सुवेदी"""
असिम मान सिंह वस्नयात,काठमाडौं,1,स्वतन्त्र,"""असिम मान सिंह वस्नयात"" काठमाडौं 1|""असिम मान सिंह वस्नयात"""
कमल कोइराला,काठमाडौं,1,स्वतन्त्र,"""कमल कोइराला"" काठमाडौं 1|""कमल कोइराला"""
किरण शाह,काठमाडौं,1,स्वतन्त्र,"""किरण शाह"" काठमाडौं 1|""किरण शाह"""
कुमार शाही,काठमाडौं,1,स्वतन्त्र,"""कुमार शाही"" काठमाडौं 1|""कुमार शाही"""
कुशल खत्री,काठमाडौं,1,स्वतन्त्र,"""कुशल खत्री"" काठमाडौं 1|""कुशल खत्री"""
रमेश प्रसाद जोशी,काठमाडौं,1,स्वतन्त्र,"""रमेश प्रसाद जोशी"" काठमाडौं 1|""रमेश प्रसाद जोशी"""
राज कुमार बजगाई,काठमाडौं,1,स्वतन्त्र,"""राज कुमार बजगाई"" काठमाडौं 1|""राज कुमार बजगाई"""
राजु भुजेल,काठमाडौं,1,स्वतन्त्र,"""राजु भुजेल"" काठमाडौं 1|""राजु भुजेल"""
शम्भु पोखरेल,काठमाडौं,1,स्वतन्त्र,"""शम्भु पोखरेल"" काठमाडौं 1|""शम्भु पोखरेल"""
शान्ती श्रेष्ठ,काठमाडौं,1,स्वतन्त्र,"""शान्ती श्रेष्ठ"" काठमाडौं 1|""शान्ती श्रेष्ठ"""
सागर जोशी,काठमाडौं,1,स्वतन्त्र,"""सागर जोशी"" काठमाडौं 1|""सागर जोशी"""
सुरेन्द्र प्रसाद ढकाल,काठमाडौं,1,स्वतन्त्र,"""सुरेन्द्र प्रसाद ढकाल"" काठमाडौं 1|""सुरेन्द्र प्रसाद ढकाल"""
संगित बम्म,काठमाडौं,1,स्वतन्त्र,"""संगित बम्म"" काठमाडौं 1|""संगित बम्म"""
मणिराम फुयाल,काठमाडौं,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Mniram Phuyal"" काठमाडौं 2|""मणिराम फुयाल"" काठमाडौं 2|""Mniram Phuyal""|""मणिराम फुयाल"""
कबिर शर्मा,काठमाडौं,2,नेपाली काँग्रेस,"""Kbir Shrma"" काठमाडौं 2|""कबिर शर्मा"" काठमाडौं 2|""Kbir Shrma""|""कबिर शर्मा"""
नितेश पौडेल,काठमाडौं,2,नेपाली कम्युनिष्ट पार्टी,"""नितेश पौडेल"" काठमाडौं 2|""नितेश पौडेल"""
सुनिल के.सी.,काठमाडौं,2,राष्ट्रिय स्वतन्त्र पार्टी,"""Sunil Kesi"" काठमाडौं 2|""सुनिल के.सी."" काठमाडौं 2|""Sunil Kesi""|""सुनिल के.सी."""
कुन्ती देवी पोखरेल(उपाध्याय),काठमाडौं,2,राष्ट्रिय प्रजातन्त्र पार्टी,"""Kunti Devi Pokhrelupadhyay"" काठमाडौं 2|""कुन्ती देवी पोखरेल(उपाध्याय)"" काठमाडौं 2|""Kunti Devi Pokhrelupadhyay""|""कुन्ती देवी पोखरेल(उपाध्याय)"""
शर्मिला माली,काठमाडौं,2,नेपाल मजदुर किसान पार्टी,"""शर्मिला माली"" काठमाडौं 2|""शर्मिला माली"""
बाल चन्द्र श्रेष्‍ठ,काठमाडौं,2,प्रगतिशील लोकतान्त्रिक पार्टी,"""बाल चन्द्र श्रेष्‍ठ"" काठमाडौं 2|""बाल चन्द्र श्रेष्‍ठ"""
उपेन्द्र कार्की,काठमाडौं,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""उपेन्द्र कार्की"" काठमाडौं 2|""उपेन्द्र कार्की"""
अनुप बोहरा,काठमाडौं,2,राष्ट्रिय परिवर्तन पार्टी,"""अनुप बोहरा"" काठमाडौं 2|""अनुप बोहरा"""
आनन्द सिंखडा,काठमाडौं,2,जय मातृभूमि पार्टी,"""आनन्द सिंखडा"" काठमाडौं 2|""आनन्द सिंखडा"""
मुकुन्द कार्की,काठमाडौं,2,श्रम संस्कृति पार्टी,"""मुकुन्द कार्की"" काठमाडौं 2|""मुकुन्द कार्की"""
प्रकास बुढाथोकी,काठमाडौं,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""प्रकास बुढाथोकी"" काठमाडौं 2|""प्रकास बुढाथोकी"""
पवन पोखरेल,काठमाडौं,2,उज्यालो नेपाल पार्टी,"""पवन पोखरेल"" काठमाडौं 2|""पवन पोखरेल"""
कृष्ण बहादुर खत्री,काठमाडौं,2,त्रिमूल नेपाल,"""कृष्ण बहादुर खत्री"" काठमाडौं 2|""कृष्ण बहादुर खत्री"""
नर्वदा कुमारी भट्टराई,काठमाडौं,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""नर्वदा कुमारी भट्टराई"" काठमाडौं 2|""नर्वदा कुमारी भट्टराई"""
तिलक बहादुर मगर,काठमाडौं,2,आम जनता पार्टी(एकल चुनाव चिन्ह),"""तिलक बहादुर मगर"" काठमाडौं 2|""तिलक बहादुर मगर"""
अर्जुन ढुंगाना,काठमाडौं,2,स्वतन्त्र,"""अर्जुन ढुंगाना"" काठमाडौं 2|""अर्जुन ढुंगाना"""
इरा श्रेष्‍ठ,काठमाडौं,2,स्वतन्त्र,"""इरा श्रेष्‍ठ"" काठमाडौं 2|""इरा श्रेष्‍ठ"""
टप वहादुर थापा,काठमाडौं,2,स्वतन्त्र,"""टप वहादुर थापा"" काठमाडौं 2|""टप वहादुर थापा"""
तिर्थ राज पौडेल,काठमाडौं,2,स्वतन्त्र,"""तिर्थ राज पौडेल"" काठमाडौं 2|""तिर्थ राज पौडेल"""
बिस्वास बस्नेत,काठमाडौं,2,स्वतन्त्र,"""बिस्वास बस्नेत"" काठमाडौं 2|""बिस्वास बस्नेत"""
मञ्जु लामा,काठमाडौं,2,स्वतन्त्र,"""मञ्जु लामा"" काठमाडौं 2|""मञ्जु लामा"""
राज कुमार श्रेष्‍ठ,काठमाडौं,2,स्वतन्त्र,"""राज कुमार श्रेष्‍ठ"" काठमाडौं 2|""राज कुमार श्रेष्‍ठ"""
रुपक बस्ताकोटी,काठमाडौं,2,स्वतन्त्र,"""रुपक बस्ताकोटी"" काठमाडौं 2|""रुपक बस्ताकोटी"""
रुपक सिंखडा,काठमाडौं,2,स्वतन्त्र,"""रुपक सिंखडा"" काठमाडौं 2|""रुपक सिंखडा"""
विरेन्द्र कुमार साह,काठमाडौं,2,स्वतन्त्र,"""विरेन्द्र कुमार साह"" काठमाडौं 2|""विरेन्द्र कुमार साह"""
सिता तिवारी,काठमाडौं,2,स्वतन्त्र,"""सिता तिवारी"" काठमाडौं 2|""सिता तिवारी"""
त्रिलोक बहादुर चन्द,काठमाडौं,2,स्वतन्त्र,"""त्रिलोक बहादुर चन्द"" काठमाडौं 2|""त्रिलोक बहादुर चन्द"""
रामेश्‍वर फुयाल,काठमाडौं,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Rameshvr Phuyal"" काठमाडौं 3|""रामेश्‍वर फुयाल"" काठमाडौं 3|""Rameshvr Phuyal""|""रामेश्‍वर फुयाल"""
रमेश अर्याल,काठमाडौं,3,नेपाली काँग्रेस,"""Rmesh Aryal"" काठमाडौं 3|""रमेश अर्याल"" काठमाडौं 3|""Rmesh Aryal""|""रमेश अर्याल"""
निरज लामा,काठमाडौं,3,नेपाली कम्युनिष्ट पार्टी,"""निरज लामा"" काठमाडौं 3|""निरज लामा"""
राजु नाथ पाण्डे,काठमाडौं,3,राष्ट्रिय स्वतन्त्र पार्टी,"""Raju Nath Pande"" काठमाडौं 3|""राजु नाथ पाण्डे"" काठमाडौं 3|""Raju Nath Pande""|""राजु नाथ पाण्डे"""
सुन्दर राम बोहरा,काठमाडौं,3,राष्ट्रिय प्रजातन्त्र पार्टी,"""Sundr Ram Bohra"" काठमाडौं 3|""सुन्दर राम बोहरा"" काठमाडौं 3|""Sundr Ram Bohra""|""सुन्दर राम बोहरा"""
प्रनिल ध्वज कार्की,काठमाडौं,3,"जनता समाजवादी पार्टी, नेपाल","""Prnil Dhvj Karki"" काठमाडौं 3|""प्रनिल ध्वज कार्की"" काठमाडौं 3|""Prnil Dhvj Karki""|""प्रनिल ध्वज कार्की"""
मदन श्रेष्ठ,काठमाडौं,3,नेपाल मजदुर किसान पार्टी,"""मदन श्रेष्ठ"" काठमाडौं 3|""मदन श्रेष्ठ"""
शेखर अर्याल,काठमाडौं,3,प्रगतिशील लोकतान्त्रिक पार्टी,"""शेखर अर्याल"" काठमाडौं 3|""शेखर अर्याल"""
कुल बहादुर लामा,काठमाडौं,3,मंगोल नेशनल अर्गनाइजेसन,"""कुल बहादुर लामा"" काठमाडौं 3|""कुल बहादुर लामा"""
बाबु काजी कार्की,काठमाडौं,3,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""बाबु काजी कार्की"" काठमाडौं 3|""बाबु काजी कार्की"""
प्रेम छिरी शेर्पा,काठमाडौं,3,नेशनल रिपब्लिक नेपाल,"""प्रेम छिरी शेर्पा"" काठमाडौं 3|""प्रेम छिरी शेर्पा"""
सुवाश घिसीङ,काठमाडौं,3,श्रम संस्कृति पार्टी,"""सुवाश घिसीङ"" काठमाडौं 3|""सुवाश घिसीङ"""
जित बहादुर तामाङ,काठमाडौं,3,मितेरी पार्टी नेपाल,"""जित बहादुर तामाङ"" काठमाडौं 3|""जित बहादुर तामाङ"""
शेखर नाथ आचार्य,काठमाडौं,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""शेखर नाथ आचार्य"" काठमाडौं 3|""शेखर नाथ आचार्य"""
कुलमान घिसिङ्,काठमाडौं,3,उज्यालो नेपाल पार्टी,"""कुलमान घिसिङ्"" काठमाडौं 3|""कुलमान घिसिङ्"""
रुप सागर देवी,काठमाडौं,3,आम जनता पार्टी(एकल चुनाव चिन्ह),"""रुप सागर देवी"" काठमाडौं 3|""रुप सागर देवी"""
केशव नेपाल,काठमाडौं,3,स्वतन्त्र,"""केशव नेपाल"" काठमाडौं 3|""केशव नेपाल"""
प्रदिप काफ्ले,काठमाडौं,3,स्वतन्त्र,"""प्रदिप काफ्ले"" काठमाडौं 3|""प्रदिप काफ्ले"""
राम कृष्‍ण पुजारी,काठमाडौं,3,स्वतन्त्र,"""राम कृष्‍ण पुजारी"" काठमाडौं 3|""राम कृष्‍ण पुजारी"""
सज्‍जन आचार्य,काठमाडौं,3,स्वतन्त्र,"""सज्‍जन आचार्य"" काठमाडौं 3|""सज्‍जन आचार्य"""
सुरेश कुमार ढुङ्गाना,काठमाडौं,3,स्वतन्त्र,"""सुरेश कुमार ढुङ्गाना"" काठमाडौं 3|""सुरेश कुमार ढुङ्गाना"""
श्रीकृष्‍ण वराल,काठमाडौं,3,स्वतन्त्र,"""श्रीकृष्‍ण वराल"" काठमाडौं 3|""श्रीकृष्‍ण वराल"""
राजन भट्टराई,काठमाडौं,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Rajn Bhttrai"" काठमाडौं 4|""राजन भट्टराई"" काठमाडौं 4|""Rajn Bhttrai""|""राजन भट्टराई"""
सचिन तिमल्सेना,काठमाडौं,4,नेपाली काँग्रेस,"""Schin Timlsena"" काठमाडौं 4|""सचिन तिमल्सेना"" काठमाडौं 4|""Schin Timlsena""|""सचिन तिमल्सेना"""
इन्द्र कुमार भुसाल,काठमाडौं,4,नेपाली कम्युनिष्ट पार्टी,"""इन्द्र कुमार भुसाल"" काठमाडौं 4|""इन्द्र कुमार भुसाल"""
पुकार बम,काठमाडौं,4,राष्ट्रिय स्वतन्त्र पार्टी,"""Pukar Bm"" काठमाडौं 4|""पुकार बम"" काठमाडौं 4|""Pukar Bm""|""पुकार बम"""
सुरेन्द्र राज भण्डारी,काठमाडौं,4,राष्ट्रिय प्रजातन्त्र पार्टी,"""Surendr Raj Bhndari"" काठमाडौं 4|""सुरेन्द्र राज भण्डारी"" काठमाडौं 4|""Surendr Raj Bhndari""|""सुरेन्द्र राज भण्डारी"""
आशा लाल श्रेष्‍ठ,काठमाडौं,4,नेपाल मजदुर किसान पार्टी,"""आशा लाल श्रेष्‍ठ"" काठमाडौं 4|""आशा लाल श्रेष्‍ठ"""
छवि बहादुर खनाल,काठमाडौं,4,राष्ट्रिय जनमोर्चा,"""छवि बहादुर खनाल"" काठमाडौं 4|""छवि बहादुर खनाल"""
दत्त बुढा,काठमाडौं,4,प्रगतिशील लोकतान्त्रिक पार्टी,"""दत्त बुढा"" काठमाडौं 4|""दत्त बुढा"""
सिता तामाङ्ग,काठमाडौं,4,मंगोल नेशनल अर्गनाइजेसन,"""सिता तामाङ्ग"" काठमाडौं 4|""सिता तामाङ्ग"""
श्‍याम कुमार भट्रराई खत्री,काठमाडौं,4,नेपालका लागि नेपाली पार्टी,"""श्‍याम कुमार भट्रराई खत्री"" काठमाडौं 4|""श्‍याम कुमार भट्रराई खत्री"""
मुस्कान पौडेल,काठमाडौं,4,युनाईटेड नेपाल डिमोक्रयाटीक पार्टी,"""मुस्कान पौडेल"" काठमाडौं 4|""मुस्कान पौडेल"""
राजन पुरी,काठमाडौं,4,जय मातृभूमि पार्टी,"""राजन पुरी"" काठमाडौं 4|""राजन पुरी"""
बरुण अमात्य,काठमाडौं,4,श्रम संस्कृति पार्टी,"""बरुण अमात्य"" काठमाडौं 4|""बरुण अमात्य"""
प्रेम कुमार राई,काठमाडौं,4,मितेरी पार्टी नेपाल,"""प्रेम कुमार राई"" काठमाडौं 4|""प्रेम कुमार राई"""
करिस्मा  खरेल ,काठमाडौं,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""करिस्मा  खरेल "" काठमाडौं 4|""करिस्मा  खरेल """
चेत बहादुर आले,काठमाडौं,4,राष्ट्रिय जनमुक्ति पार्टी,"""चेत बहादुर आले"" काठमाडौं 4|""चेत बहादुर आले"""
झनक बहादुर अधिकारी,काठमाडौं,4,उज्यालो नेपाल पार्टी,"""झनक बहादुर अधिकारी"" काठमाडौं 4|""झनक बहादुर अधिकारी"""
केम्श सिंह,काठमाडौं,4,जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),"""केम्श सिंह"" काठमाडौं 4|""केम्श सिंह"""
अर्चन शम्शेर राणा,काठमाडौं,4,स्वतन्त्र,"""अर्चन शम्शेर राणा"" काठमाडौं 4|""अर्चन शम्शेर राणा"""
आशिष श्रेष्‍ठ,काठमाडौं,4,स्वतन्त्र,"""आशिष श्रेष्‍ठ"" काठमाडौं 4|""आशिष श्रेष्‍ठ"""
केदार बहादुर कार्की,काठमाडौं,4,स्वतन्त्र,"""केदार बहादुर कार्की"" काठमाडौं 4|""केदार बहादुर कार्की"""
दीपेन्द्र कुमार काफ्ले,काठमाडौं,4,स्वतन्त्र,"""दीपेन्द्र कुमार काफ्ले"" काठमाडौं 4|""दीपेन्द्र कुमार काफ्ले"""
देवराज पौडेल,काठमाडौं,4,स्वतन्त्र,"""देवराज पौडेल"" काठमाडौं 4|""देवराज पौडेल"""
पुजन गजुरेल,काठमाडौं,4,स्वतन्त्र,"""पुजन गजुरेल"" काठमाडौं 4|""पुजन गजुरेल"""
मदन देव आचार्य,काठमाडौं,4,स्वतन्त्र,"""मदन देव आचार्य"" काठमाडौं 4|""मदन देव आचार्य"""
मनोज अधिकारी,काठमाडौं,4,स्वतन्त्र,"""मनोज अधिकारी"" काठमाडौं 4|""मनोज अधिकारी"""
विनोद बाबु प्रधान,काठमाडौं,4,स्वतन्त्र,"""विनोद बाबु प्रधान"" काठमाडौं 4|""विनोद बाबु प्रधान"""
संजिव दर्जी,काठमाडौं,4,स्वतन्त्र,"""संजिव दर्जी"" काठमाडौं 4|""संजिव दर्जी"""
इश्वर पोखरेल,काठमाडौं,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Ishvr Pokhrel"" काठमाडौं 5|""इश्वर पोखरेल"" काठमाडौं 5|""Ishvr Pokhrel""|""इश्वर पोखरेल"""
प्रदीप पौडेल,काठमाडौं,5,नेपाली काँग्रेस,"""Prdip Paudel"" काठमाडौं 5|""प्रदीप पौडेल"" काठमाडौं 5|""Prdip Paudel""|""प्रदीप पौडेल"""
कल्पना शर्मा,काठमाडौं,5,नेपाली कम्युनिष्ट पार्टी,"""कल्पना शर्मा"" काठमाडौं 5|""कल्पना शर्मा"""
सस्मित पोखरेल,काठमाडौं,5,राष्ट्रिय स्वतन्त्र पार्टी,"""Ssmit Pokhrel"" काठमाडौं 5|""सस्मित पोखरेल"" काठमाडौं 5|""Ssmit Pokhrel""|""सस्मित पोखरेल"""
कमल थापा,काठमाडौं,5,राष्ट्रिय प्रजातन्त्र पार्टी,"""Kml Thapa"" काठमाडौं 5|""कमल थापा"" काठमाडौं 5|""Kml Thapa""|""कमल थापा"""
दानिन्द्र जोशी,काठमाडौं,5,"जनता समाजवादी पार्टी, नेपाल","""Danindr Joshi"" काठमाडौं 5|""दानिन्द्र जोशी"" काठमाडौं 5|""Danindr Joshi""|""दानिन्द्र जोशी"""
शाेभा लाल श्रेष्ठ,काठमाडौं,5,नेपाल मजदुर किसान पार्टी,"""शाेभा लाल श्रेष्ठ"" काठमाडौं 5|""शाेभा लाल श्रेष्ठ"""
अशोक विक्रम जि सी,काठमाडौं,5,राष्ट्रिय जनमोर्चा,"""अशोक विक्रम जि सी"" काठमाडौं 5|""अशोक विक्रम जि सी"""
विष्‍णु श्रेष्‍ठ,काठमाडौं,5,प्रगतिशील लोकतान्त्रिक पार्टी,"""विष्‍णु श्रेष्‍ठ"" काठमाडौं 5|""विष्‍णु श्रेष्‍ठ"""
मिरा गुरुङ,काठमाडौं,5,मंगोल नेशनल अर्गनाइजेसन,"""मिरा गुरुङ"" काठमाडौं 5|""मिरा गुरुङ"""
स्याम काजी सुनुवार,काठमाडौं,5,संयुक्त नागरिक पार्टी,"""स्याम काजी सुनुवार"" काठमाडौं 5|""स्याम काजी सुनुवार"""
निमेस खनाल,काठमाडौं,5,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""निमेस खनाल"" काठमाडौं 5|""निमेस खनाल"""
नीशा अधिकारी,काठमाडौं,5,गतिशील लोकतान्त्रिक पार्टी,"""नीशा अधिकारी"" काठमाडौं 5|""नीशा अधिकारी"""
बसन्त राज कुँवर,काठमाडौं,5,जय मातृभूमि पार्टी,"""बसन्त राज कुँवर"" काठमाडौं 5|""बसन्त राज कुँवर"""
अमित थापा,काठमाडौं,5,श्रम संस्कृति पार्टी,"""अमित थापा"" काठमाडौं 5|""अमित थापा"""
ज्ञानेन्द्र प्रजापती,काठमाडौं,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""ज्ञानेन्द्र प्रजापती"" काठमाडौं 5|""ज्ञानेन्द्र प्रजापती"""
श्रीराम गुरुङ,काठमाडौं,5,उज्यालो नेपाल पार्टी,"""श्रीराम गुरुङ"" काठमाडौं 5|""श्रीराम गुरुङ"""
रमेश तामाङ,काठमाडौं,5,त्रिमूल नेपाल,"""रमेश तामाङ"" काठमाडौं 5|""रमेश तामाङ"""
युवराज काफ्ले,काठमाडौं,5,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी)(एकल चुनाव चिन्ह),"""युवराज काफ्ले"" काठमाडौं 5|""युवराज काफ्ले"""
कोमल  पौडेल,काठमाडौं,5,आम जनता पार्टी(एकल चुनाव चिन्ह),"""कोमल  पौडेल"" काठमाडौं 5|""कोमल  पौडेल"""
क्यामुना मिजार,काठमाडौं,5,स्वतन्त्र,"""क्यामुना मिजार"" काठमाडौं 5|""क्यामुना मिजार"""
ढक बहादुर कार्की,काठमाडौं,5,स्वतन्त्र,"""ढक बहादुर कार्की"" काठमाडौं 5|""ढक बहादुर कार्की"""
धर्म डंगोल,काठमाडौं,5,स्वतन्त्र,"""धर्म डंगोल"" काठमाडौं 5|""धर्म डंगोल"""
प्रभा श्रेष्‍ठ,काठमाडौं,5,स्वतन्त्र,"""प्रभा श्रेष्‍ठ"" काठमाडौं 5|""प्रभा श्रेष्‍ठ"""
रमिता सापकोटा,काठमाडौं,5,स्वतन्त्र,"""रमिता सापकोटा"" काठमाडौं 5|""रमिता सापकोटा"""
अमन कुमार मास्के,काठमाडौं,6,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Amn Kumar Maske"" काठमाडौं 6|""अमन कुमार मास्के"" काठमाडौं 6|""Amn Kumar Maske""|""अमन कुमार मास्के"""
कृष्‍ण वानियाँ क्षेत्री,काठमाडौं,6,नेपाली काँग्रेस,"""Kshn Vaniya Kshetri"" काठमाडौं 6|""कृष्‍ण वानियाँ क्षेत्री"" काठमाडौं 6|""Kshn Vaniya Kshetri""|""कृष्‍ण वानियाँ क्षेत्री"""
हेम लाल शर्मा,काठमाडौं,6,नेपाली कम्युनिष्ट पार्टी,"""हेम लाल शर्मा"" काठमाडौं 6|""हेम लाल शर्मा"""
शिशिर  खनाल ,काठमाडौं,6,राष्ट्रिय स्वतन्त्र पार्टी,"""Shishir  Khnal "" काठमाडौं 6|""शिशिर  खनाल "" काठमाडौं 6|""Shishir  Khnal ""|""शिशिर  खनाल """
उद्धव राज भेटुवाल,काठमाडौं,6,राष्ट्रिय प्रजातन्त्र पार्टी,"""Uddhv Raj Bhetuval"" काठमाडौं 6|""उद्धव राज भेटुवाल"" काठमाडौं 6|""Uddhv Raj Bhetuval""|""उद्धव राज भेटुवाल"""
इन्द्र कुमारी बज्राचार्य,काठमाडौं,6,नेपाल मजदुर किसान पार्टी,"""इन्द्र कुमारी बज्राचार्य"" काठमाडौं 6|""इन्द्र कुमारी बज्राचार्य"""
जगत प्रसाद रेग्मी,काठमाडौं,6,राष्ट्रिय जनमोर्चा,"""जगत प्रसाद रेग्मी"" काठमाडौं 6|""जगत प्रसाद रेग्मी"""
गिरी राज अर्याल,काठमाडौं,6,प्रगतिशील लोकतान्त्रिक पार्टी,"""गिरी राज अर्याल"" काठमाडौं 6|""गिरी राज अर्याल"""
रोम लाल गिरी,काठमाडौं,6,जय मातृभूमि पार्टी,"""रोम लाल गिरी"" काठमाडौं 6|""रोम लाल गिरी"""
लवली थापा,काठमाडौं,6,श्रम संस्कृति पार्टी,"""लवली थापा"" काठमाडौं 6|""लवली थापा"""
सुक्र बहादुर लामा,काठमाडौं,6,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""सुक्र बहादुर लामा"" काठमाडौं 6|""सुक्र बहादुर लामा"""
वारिस धरेल,काठमाडौं,6,उज्यालो नेपाल पार्टी,"""वारिस धरेल"" काठमाडौं 6|""वारिस धरेल"""
उद्धव प्रसाद मिश्र,काठमाडौं,6,प्रजातान्त्रिक पार्टी नेपाल,"""उद्धव प्रसाद मिश्र"" काठमाडौं 6|""उद्धव प्रसाद मिश्र"""
इन्दिरा थापा,काठमाडौं,6,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""इन्दिरा थापा"" काठमाडौं 6|""इन्दिरा थापा"""
सफलता बोगटी,काठमाडौं,6,आम जनता पार्टी(एकल चुनाव चिन्ह),"""सफलता बोगटी"" काठमाडौं 6|""सफलता बोगटी"""
अम्‍विका कुमारी कार्की,काठमाडौं,6,स्वतन्त्र,"""अम्‍विका कुमारी कार्की"" काठमाडौं 6|""अम्‍विका कुमारी कार्की"""
बल बहादुर के.सी,काठमाडौं,6,स्वतन्त्र,"""बल बहादुर के.सी"" काठमाडौं 6|""बल बहादुर के.सी"""
राम कुमार घिमिरे,काठमाडौं,6,स्वतन्त्र,"""राम कुमार घिमिरे"" काठमाडौं 6|""राम कुमार घिमिरे"""
सरोज थपलिया,काठमाडौं,6,स्वतन्त्र,"""सरोज थपलिया"" काठमाडौं 6|""सरोज थपलिया"""
संगम अर्याल,काठमाडौं,6,स्वतन्त्र,"""संगम अर्याल"" काठमाडौं 6|""संगम अर्याल"""
प्रकाश श्रेष्ठ,काठमाडौं,7,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Prkash Shreshth"" काठमाडौं 7|""प्रकाश श्रेष्ठ"" काठमाडौं 7|""Prkash Shreshth""|""प्रकाश श्रेष्ठ"""
प्रमोद हरि गुरागाई,काठमाडौं,7,नेपाली काँग्रेस,"""Prmod Hri Guragai"" काठमाडौं 7|""प्रमोद हरि गुरागाई"" काठमाडौं 7|""Prmod Hri Guragai""|""प्रमोद हरि गुरागाई"""
वसन्त प्रसाद मानन्धर,काठमाडौं,7,नेपाली कम्युनिष्ट पार्टी,"""वसन्त प्रसाद मानन्धर"" काठमाडौं 7|""वसन्त प्रसाद मानन्धर"""
गणेश पराजुली,काठमाडौं,7,राष्ट्रिय स्वतन्त्र पार्टी,"""Gnesh Prajuli"" काठमाडौं 7|""गणेश पराजुली"" काठमाडौं 7|""Gnesh Prajuli""|""गणेश पराजुली"""
लाल कुमार लामा,काठमाडौं,7,राष्ट्रिय प्रजातन्त्र पार्टी,"""Lal Kumar Lama"" काठमाडौं 7|""लाल कुमार लामा"" काठमाडौं 7|""Lal Kumar Lama""|""लाल कुमार लामा"""
बाबु राम लामा,काठमाडौं,7,"जनता समाजवादी पार्टी, नेपाल","""Babu Ram Lama"" काठमाडौं 7|""बाबु राम लामा"" काठमाडौं 7|""Babu Ram Lama""|""बाबु राम लामा"""
गणेश माया डंगोल,काठमाडौं,7,नेपाल मजदुर किसान पार्टी,"""गणेश माया डंगोल"" काठमाडौं 7|""गणेश माया डंगोल"""
दिर्ध कुमार श्रेष्‍ठ,काठमाडौं,7,राष्ट्रिय जनमोर्चा,"""दिर्ध कुमार श्रेष्‍ठ"" काठमाडौं 7|""दिर्ध कुमार श्रेष्‍ठ"""
अमिन रत्न ताम्राकार,काठमाडौं,7,प्रगतिशील लोकतान्त्रिक पार्टी,"""अमिन रत्न ताम्राकार"" काठमाडौं 7|""अमिन रत्न ताम्राकार"""
