Name,District,No,Party,KeywordList
खिम लाल भट्टराई,रूपन्देही,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Khim Lal Bhttrai"" रूपन्देही 5|""खिम लाल भट्टराई"" रूपन्देही 5|""Khim Lal Bhttrai""|""खिम लाल भट्टराई"""
भरत कुमार शाह,रूपन्देही,5,नेपाली काँग्रेस,"""Bhrt Kumar Shah"" रूपन्देही 5|""भरत कुमार शाह"" रूपन्देही 5|""Bhrt Kumar Shah""|""भरत कुमार शाह"""
मुहम्मद वकील मुसलमान,रूपन्देही,5,नेपाली कम्युनिष्ट पार्टी,"""मुहम्मद वकील मुसलमान"" रूपन्देही 5|""मुहम्मद वकील मुसलमान"""
तौफिक अहमद खान,रूपन्देही,5,राष्ट्रिय स्वतन्त्र पार्टी,"""Tauphik Ahmd Khan"" रूपन्देही 5|""तौफिक अहमद खान"" रूपन्देही 5|""Tauphik Ahmd Khan""|""तौफिक अहमद खान"""
मिन प्रसाद घिमिरे,रूपन्देही,5,राष्ट्रिय प्रजातन्त्र पार्टी,"""Min Prsad Ghimire"" रूपन्देही 5|""मिन प्रसाद घिमिरे"" रूपन्देही 5|""Min Prsad Ghimire""|""मिन प्रसाद घिमिरे"""
मुहम्मद बहिद फकिर,रूपन्देही,5,"जनता समाजवादी पार्टी, नेपाल","""Muhmmd Bhid Phkir"" रूपन्देही 5|""मुहम्मद बहिद फकिर"" रूपन्देही 5|""Muhmmd Bhid Phkir""|""मुहम्मद बहिद फकिर"""
ओम प्रकाश यादव,रूपन्देही,5,जनमत पार्टी,"""ओम प्रकाश यादव"" रूपन्देही 5|""ओम प्रकाश यादव"""
जगीलाल थापा,रूपन्देही,5,नेपाल मजदुर किसान पार्टी,"""जगीलाल थापा"" रूपन्देही 5|""जगीलाल थापा"""
जयश्वर रेग्मी,रूपन्देही,5,राष्ट्रिय जनमोर्चा,"""जयश्वर रेग्मी"" रूपन्देही 5|""जयश्वर रेग्मी"""
सुनिल चौधरी थारु,रूपन्देही,5,प्रगतिशील लोकतान्त्रिक पार्टी,"""सुनिल चौधरी थारु"" रूपन्देही 5|""सुनिल चौधरी थारु"""
इन्‍द्र बहादुर नेपाली,रूपन्देही,5,मंगोल नेशनल अर्गनाइजेसन,"""इन्‍द्र बहादुर नेपाली"" रूपन्देही 5|""इन्‍द्र बहादुर नेपाली"""
केशु रासकोटी मगर,रूपन्देही,5,नेशनल रिपब्लिक नेपाल,"""केशु रासकोटी मगर"" रूपन्देही 5|""केशु रासकोटी मगर"""
शिवलाल विश्वकर्मा,रूपन्देही,5,श्रम संस्कृति पार्टी,"""शिवलाल विश्वकर्मा"" रूपन्देही 5|""शिवलाल विश्वकर्मा"""
विष्णु प्रसाद भट्टराई,रूपन्देही,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""विष्णु प्रसाद भट्टराई"" रूपन्देही 5|""विष्णु प्रसाद भट्टराई"""
चन्दा थापा,रूपन्देही,5,राष्ट्रिय जनमुक्ति पार्टी,"""चन्दा थापा"" रूपन्देही 5|""चन्दा थापा"""
केशव भट्टराई ,रूपन्देही,5,उज्यालो नेपाल पार्टी,"""केशव भट्टराई "" रूपन्देही 5|""केशव भट्टराई """
बिरेन्द्र कुमार धोवी,रूपन्देही,5,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","""बिरेन्द्र कुमार धोवी"" रूपन्देही 5|""बिरेन्द्र कुमार धोवी"""
राजु श्रेष्‍ठ,रूपन्देही,5,नेपाल जनसेवा पार्टी,"""राजु श्रेष्‍ठ"" रूपन्देही 5|""राजु श्रेष्‍ठ"""
खेम प्रसाद गुरुङ्,रूपन्देही,5,आम जनता पार्टी(एकल चुनाव चिन्ह),"""खेम प्रसाद गुरुङ्"" रूपन्देही 5|""खेम प्रसाद गुरुङ्"""
जगदीश यादव,रूपन्देही,5,स्वतन्त्र,"""जगदीश यादव"" रूपन्देही 5|""जगदीश यादव"""
जय नारायण काफ्ले,रूपन्देही,5,स्वतन्त्र,"""जय नारायण काफ्ले"" रूपन्देही 5|""जय नारायण काफ्ले"""
धिरेन्द्र प्रसाद चौधरी,रूपन्देही,5,स्वतन्त्र,"""धिरेन्द्र प्रसाद चौधरी"" रूपन्देही 5|""धिरेन्द्र प्रसाद चौधरी"""
बसन्त कुमार यादव,रूपन्देही,5,स्वतन्त्र,"""बसन्त कुमार यादव"" रूपन्देही 5|""बसन्त कुमार यादव"""
बसन्ती चमार,रूपन्देही,5,स्वतन्त्र,"""बसन्ती चमार"" रूपन्देही 5|""बसन्ती चमार"""
लक्ष्‍मण बहादुर नेपाल,रूपन्देही,5,स्वतन्त्र,"""लक्ष्‍मण बहादुर नेपाल"" रूपन्देही 5|""लक्ष्‍मण बहादुर नेपाल"""
विक्रम प्रसाद यादव,रूपन्देही,5,स्वतन्त्र,"""विक्रम प्रसाद यादव"" रूपन्देही 5|""विक्रम प्रसाद यादव"""
सकिल अहमद खा,रूपन्देही,5,स्वतन्त्र,"""सकिल अहमद खा"" रूपन्देही 5|""सकिल अहमद खा"""
विश्राम प्रसाद चौधरी,कपिलबस्तु,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Vishram Prsad Chaudhri"" कपिलबस्तु 1|""विश्राम प्रसाद चौधरी"" कपिलबस्तु 1|""Vishram Prsad Chaudhri""|""विश्राम प्रसाद चौधरी"""
अतहर कमाल मुसलमान,कपिलबस्तु,1,नेपाली काँग्रेस,"""Athr Kmal Muslman"" कपिलबस्तु 1|""अतहर कमाल मुसलमान"" कपिलबस्तु 1|""Athr Kmal Muslman""|""अतहर कमाल मुसलमान"""
कृष्ण बहादुर कुँवर,कपिलबस्तु,1,नेपाली कम्युनिष्ट पार्टी,"""कृष्ण बहादुर कुँवर"" कपिलबस्तु 1|""कृष्ण बहादुर कुँवर"""
मोहन लाल आचार्य,कपिलबस्तु,1,राष्ट्रिय स्वतन्त्र पार्टी,"""Mohn Lal Achary"" कपिलबस्तु 1|""मोहन लाल आचार्य"" कपिलबस्तु 1|""Mohn Lal Achary""|""मोहन लाल आचार्य"""
शत्रुघन बिलास सिंह कुर्मी,कपिलबस्तु,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""Shtrughn Bilas Sinh Kurmi"" कपिलबस्तु 1|""शत्रुघन बिलास सिंह कुर्मी"" कपिलबस्तु 1|""Shtrughn Bilas Sinh Kurmi""|""शत्रुघन बिलास सिंह कुर्मी"""
बब्बु सिंह यादव,कपिलबस्तु,1,"जनता समाजवादी पार्टी, नेपाल","""Bbbu Sinh Yadv"" कपिलबस्तु 1|""बब्बु सिंह यादव"" कपिलबस्तु 1|""Bbbu Sinh Yadv""|""बब्बु सिंह यादव"""
नरेन्‍द्र प्रसाद चौधरी,कपिलबस्तु,1,जनमत पार्टी,"""नरेन्‍द्र प्रसाद चौधरी"" कपिलबस्तु 1|""नरेन्‍द्र प्रसाद चौधरी"""
माधव भाट,कपिलबस्तु,1,राष्ट्रिय जनमोर्चा,"""माधव भाट"" कपिलबस्तु 1|""माधव भाट"""
केशर बहादुर सूर्यवंशी,कपिलबस्तु,1,मंगोल नेशनल अर्गनाइजेसन,"""केशर बहादुर सूर्यवंशी"" कपिलबस्तु 1|""केशर बहादुर सूर्यवंशी"""
मनोज कुमार शुक्ल,कपिलबस्तु,1,नेपाल जनता पार्टी,"""मनोज कुमार शुक्ल"" कपिलबस्तु 1|""मनोज कुमार शुक्ल"""
दरोगा प्रसाद कुर्मी,कपिलबस्तु,1,श्रम संस्कृति पार्टी,"""दरोगा प्रसाद कुर्मी"" कपिलबस्तु 1|""दरोगा प्रसाद कुर्मी"""
संघ प्रसाद थारु,कपिलबस्तु,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""संघ प्रसाद थारु"" कपिलबस्तु 1|""संघ प्रसाद थारु"""
नुमा बि.क,कपिलबस्तु,1,राष्ट्रिय जनमुक्ति पार्टी,"""नुमा बि.क"" कपिलबस्तु 1|""नुमा बि.क"""
जयवन्त विक्रम शाह,कपिलबस्तु,1,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल","""जयवन्त विक्रम शाह"" कपिलबस्तु 1|""जयवन्त विक्रम शाह"""
भग्गु प्रसाद चौधरी थारु,कपिलबस्तु,1,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","""भग्गु प्रसाद चौधरी थारु"" कपिलबस्तु 1|""भग्गु प्रसाद चौधरी थारु"""
निसार अहमद मुसलमान,कपिलबस्तु,1,राष्ट्र निर्माण दल नेपाल,"""निसार अहमद मुसलमान"" कपिलबस्तु 1|""निसार अहमद मुसलमान"""
अब्दुल्लाह मुसलमान,कपिलबस्तु,1,राष्ट्रिय जनमत पार्टी,"""अब्दुल्लाह मुसलमान"" कपिलबस्तु 1|""अब्दुल्लाह मुसलमान"""
रबिन कार्की,कपिलबस्तु,1,नेपाल जनसेवा पार्टी,"""रबिन कार्की"" कपिलबस्तु 1|""रबिन कार्की"""
शिव बहादुर दर्जी,कपिलबस्तु,1,आम जनता पार्टी(एकल चुनाव चिन्ह),"""शिव बहादुर दर्जी"" कपिलबस्तु 1|""शिव बहादुर दर्जी"""
अब्दुल रहमान -,कपिलबस्तु,1,स्वतन्त्र,"""अब्दुल रहमान -"" कपिलबस्तु 1|""अब्दुल रहमान -"""
आशिष शर्मा,कपिलबस्तु,1,स्वतन्त्र,"""आशिष शर्मा"" कपिलबस्तु 1|""आशिष शर्मा"""
कल्याण टण्‍डन,कपिलबस्तु,1,स्वतन्त्र,"""कल्याण टण्‍डन"" कपिलबस्तु 1|""कल्याण टण्‍डन"""
कैसर जहा भन्ने सकिना मुस्लीम​,कपिलबस्तु,1,स्वतन्त्र,"""कैसर जहा भन्ने सकिना मुस्लीम​"" कपिलबस्तु 1|""कैसर जहा भन्ने सकिना मुस्लीम​"""
चन्द्र कुमार बढई,कपिलबस्तु,1,स्वतन्त्र,"""चन्द्र कुमार बढई"" कपिलबस्तु 1|""चन्द्र कुमार बढई"""
धर्मेन्दर पासी,कपिलबस्तु,1,स्वतन्त्र,"""धर्मेन्दर पासी"" कपिलबस्तु 1|""धर्मेन्दर पासी"""
नरेन्द्र वहादुर वेल्बासे,कपिलबस्तु,1,स्वतन्त्र,"""नरेन्द्र वहादुर वेल्बासे"" कपिलबस्तु 1|""नरेन्द्र वहादुर वेल्बासे"""
प्रकाश भुसाल,कपिलबस्तु,1,स्वतन्त्र,"""प्रकाश भुसाल"" कपिलबस्तु 1|""प्रकाश भुसाल"""
माधव प्रसाद खनाल  (उपाध्याय),कपिलबस्तु,1,स्वतन्त्र,"""माधव प्रसाद खनाल  (उपाध्याय)"" कपिलबस्तु 1|""माधव प्रसाद खनाल  (उपाध्याय)"""
राम गोपाल कुर्मी,कपिलबस्तु,1,स्वतन्त्र,"""राम गोपाल कुर्मी"" कपिलबस्तु 1|""राम गोपाल कुर्मी"""
राम नारायण थारु,कपिलबस्तु,1,स्वतन्त्र,"""राम नारायण थारु"" कपिलबस्तु 1|""राम नारायण थारु"""
वुद्धि नाथ पोखरेल,कपिलबस्तु,1,स्वतन्त्र,"""वुद्धि नाथ पोखरेल"" कपिलबस्तु 1|""वुद्धि नाथ पोखरेल"""
शंकर भाटक्षेत्री,कपिलबस्तु,1,स्वतन्त्र,"""शंकर भाटक्षेत्री"" कपिलबस्तु 1|""शंकर भाटक्षेत्री"""
सुरेन्द्र कुमार शुक्ल,कपिलबस्तु,1,स्वतन्त्र,"""सुरेन्द्र कुमार शुक्ल"" कपिलबस्तु 1|""सुरेन्द्र कुमार शुक्ल"""
सुर्य प्रसाद बराल,कपिलबस्तु,1,स्वतन्त्र,"""सुर्य प्रसाद बराल"" कपिलबस्तु 1|""सुर्य प्रसाद बराल"""
द‍ृग नरायण पाण्‍डेय,कपिलबस्तु,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Dg Nrayn Pandey"" कपिलबस्तु 2|""द‍ृग नरायण पाण्‍डेय"" कपिलबस्तु 2|""Dg Nrayn Pandey""|""द‍ृग नरायण पाण्‍डेय"""
सुरेन्द्र राज आचार्य,कपिलबस्तु,2,नेपाली काँग्रेस,"""Surendr Raj Achary"" कपिलबस्तु 2|""सुरेन्द्र राज आचार्य"" कपिलबस्तु 2|""Surendr Raj Achary""|""सुरेन्द्र राज आचार्य"""
बृजेश कुमार गुप्‍त,कपिलबस्तु,2,नेपाली कम्युनिष्ट पार्टी,"""बृजेश कुमार गुप्‍त"" कपिलबस्तु 2|""बृजेश कुमार गुप्‍त"""
विक्रम थापा,कपिलबस्तु,2,राष्ट्रिय स्वतन्त्र पार्टी,"""Vikrm Thapa"" कपिलबस्तु 2|""विक्रम थापा"" कपिलबस्तु 2|""Vikrm Thapa""|""विक्रम थापा"""
विष्णु प्रसाद भण्डारी,कपिलबस्तु,2,राष्ट्रिय प्रजातन्त्र पार्टी,"""Vishnu Prsad Bhndari"" कपिलबस्तु 2|""विष्णु प्रसाद भण्डारी"" कपिलबस्तु 2|""Vishnu Prsad Bhndari""|""विष्णु प्रसाद भण्डारी"""
राम नेवास यादव,कपिलबस्तु,2,"जनता समाजवादी पार्टी, नेपाल","""Ram Nevas Yadv"" कपिलबस्तु 2|""राम नेवास यादव"" कपिलबस्तु 2|""Ram Nevas Yadv""|""राम नेवास यादव"""
मुरली कुर्मी,कपिलबस्तु,2,जनमत पार्टी,"""मुरली कुर्मी"" कपिलबस्तु 2|""मुरली कुर्मी"""
लक्ष्मी कुमारी मण्डारी,कपिलबस्तु,2,राष्ट्रिय जनमोर्चा,"""लक्ष्मी कुमारी मण्डारी"" कपिलबस्तु 2|""लक्ष्मी कुमारी मण्डारी"""
पिन बहादुर दर्जी,कपिलबस्तु,2,मंगोल नेशनल अर्गनाइजेसन,"""पिन बहादुर दर्जी"" कपिलबस्तु 2|""पिन बहादुर दर्जी"""
शेष नारायण शुक्ल,कपिलबस्तु,2,नेपाल जनता पार्टी,"""शेष नारायण शुक्ल"" कपिलबस्तु 2|""शेष नारायण शुक्ल"""
बुद्धि बहादुर सारु थापा,कपिलबस्तु,2,नेशनल रिपब्लिक नेपाल,"""बुद्धि बहादुर सारु थापा"" कपिलबस्तु 2|""बुद्धि बहादुर सारु थापा"""
राज मंगल थारु,कपिलबस्तु,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""राज मंगल थारु"" कपिलबस्तु 2|""राज मंगल थारु"""
राम चन्द्र कोरी,कपिलबस्तु,2,सार्वभौम नागरिक पार्टी,"""राम चन्द्र कोरी"" कपिलबस्तु 2|""राम चन्द्र कोरी"""
जामवन्ती भूज,कपिलबस्तु,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""जामवन्ती भूज"" कपिलबस्तु 2|""जामवन्ती भूज"""
