CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
कृष्ण कुमार साह,Krishna Kumar Sah,धनुषा,dhanusha,3,"(""कृष्ण कुमार साह"" OR ""Krishna Kumar Sah"") since:2025-09-05"
कृष्ण कुमार सुल्तानिया,Krishna Kumar Sultaniya,धनुषा,dhanusha,3,"(""कृष्ण कुमार सुल्तानिया"" OR ""Krishna Kumar Sultaniya"") since:2025-09-05"
केवल ठाकुर,Kevl Thakur,धनुषा,dhanusha,3,"(""केवल ठाकुर"" OR ""Kevl Thakur"") since:2025-09-05"
गंगा लक्ष्मी वैद्य,Ganga Lakshmi Vaidya,धनुषा,dhanusha,3,"(""गंगा लक्ष्मी वैद्य"" OR ""Ganga Lakshmi Vaidya"") since:2025-09-05"
गोपाल प्रसाद साह,Gopal Prasad Sah,धनुषा,dhanusha,3,"(""गोपाल प्रसाद साह"" OR ""Gopal Prasad Sah"") since:2025-09-05"
चन्दन कुमार झा,Chandan Kumar Jha,धनुषा,dhanusha,3,"(""चन्दन कुमार झा"" OR ""Chandan Kumar Jha"") since:2025-09-05"
जुली कुमारी महतो (महासेठ),Juli Kumari Mahato Mhaseth,धनुषा,dhanusha,3,"(""जुली कुमारी महतो (महासेठ)"" OR ""Juli Kumari Mahato Mhaseth"") since:2025-09-05"
दिवाकर कुमार साह,Divakr Kumar Sah,धनुषा,dhanusha,3,"(""दिवाकर कुमार साह"" OR ""Divakr Kumar Sah"") since:2025-09-05"
नबोनाथ ठाकुर,Nbonath Thakur,धनुषा,dhanusha,3,"(""नबोनाथ ठाकुर"" OR ""Nbonath Thakur"") since:2025-09-05"
नवीन कुमार रंजन,Nabin Kumar Ranjan,धनुषा,dhanusha,3,"(""नवीन कुमार रंजन"" OR ""Nabin Kumar Ranjan"") since:2025-09-05"
परमेश्‍वर साह सुडी,Prmesh Vr Sah Sudi,धनुषा,dhanusha,3,"(""परमेश्‍वर साह सुडी"" OR ""Prmesh Vr Sah Sudi"") since:2025-09-05"
प्रदिप विक्रम साह,Pradip Vikram Sah,धनुषा,dhanusha,3,"(""प्रदिप विक्रम साह"" OR ""Pradip Vikram Sah"") since:2025-09-05"
प्रमोद कुमार साह,Pramod Kumar Sah,धनुषा,dhanusha,3,"(""प्रमोद कुमार साह"" OR ""Pramod Kumar Sah"") since:2025-09-05"
बिक्रम साह ,Bikram Sah,धनुषा,dhanusha,3,"(""बिक्रम साह "" OR ""Bikram Sah"") since:2025-09-05"
भरत कुमार साह,Bharat Kumar Sah,धनुषा,dhanusha,3,"(""भरत कुमार साह"" OR ""Bharat Kumar Sah"") since:2025-09-05"
मनिष झा,Mnish Jha,धनुषा,dhanusha,3,"(""मनिष झा"" OR ""Mnish Jha"") since:2025-09-05"
मनोज कुमार साह,Manoj Kumar Sah,धनुषा,dhanusha,3,"(""मनोज कुमार साह"" OR ""Manoj Kumar Sah"") since:2025-09-05"
मात्रिका प्रसाद दास,Matrika Prasad Das,धनुषा,dhanusha,3,"(""मात्रिका प्रसाद दास"" OR ""Matrika Prasad Das"") since:2025-09-05"
मुकेश यादव,Mukesh Yadav,धनुषा,dhanusha,3,"(""मुकेश यादव"" OR ""Mukesh Yadav"") since:2025-09-05"
रमेन्द्र कुमार कर्ण,Rmendr Kumar Karna,धनुषा,dhanusha,3,"(""रमेन्द्र कुमार कर्ण"" OR ""Rmendr Kumar Karna"") since:2025-09-05"
राज कुमार भण्डारी,Raj Kumar Bhandari,धनुषा,dhanusha,3,"(""राज कुमार भण्डारी"" OR ""Raj Kumar Bhandari"") since:2025-09-05"
राज कुमारी साह,Raj Kumari Sah,धनुषा,dhanusha,3,"(""राज कुमारी साह"" OR ""Raj Kumari Sah"") since:2025-09-05"
राजीव कुमार झा,Rajiv Kumar Jha,धनुषा,dhanusha,3,"(""राजीव कुमार झा"" OR ""Rajiv Kumar Jha"") since:2025-09-05"
राजु कुमार साह,Raju Kumar Sah,धनुषा,dhanusha,3,"(""राजु कुमार साह"" OR ""Raju Kumar Sah"") since:2025-09-05"
रामललित मंडल,Ramlalita Mandal,धनुषा,dhanusha,3,"(""रामललित मंडल"" OR ""Ramlalita Mandal"") since:2025-09-05"
रामसरोज साह,Ramsroj Sah,धनुषा,dhanusha,3,"(""रामसरोज साह"" OR ""Ramsroj Sah"") since:2025-09-05"
रोशन यादव,Roshn Yadav,धनुषा,dhanusha,3,"(""रोशन यादव"" OR ""Roshn Yadav"") since:2025-09-05"
विनोद कर्ण,Vinod Karna,धनुषा,dhanusha,3,"(""विनोद कर्ण"" OR ""Vinod Karna"") since:2025-09-05"
विमलेन्द्र निधि,Vimlendr Nidhi,धनुषा,dhanusha,3,"(""विमलेन्द्र निधि"" OR ""Vimlendr Nidhi"") since:2025-09-05"
श्याम किशोर साह,Shyam Kishor Sah,धनुषा,dhanusha,3,"(""श्याम किशोर साह"" OR ""Shyam Kishor Sah"") since:2025-09-05"
सदाम हुसैन,Sdam Husain,धनुषा,dhanusha,3,"(""सदाम हुसैन"" OR ""Sdam Husain"") since:2025-09-05"
सवनम खातुन साफी,Sanam Khatun Saphi,धनुषा,dhanusha,3,"(""सवनम खातुन साफी"" OR ""Sanam Khatun Saphi"") since:2025-09-05"
सीता देवी,Sita Devi,धनुषा,dhanusha,3,"(""सीता देवी"" OR ""Sita Devi"") since:2025-09-05"
सीता देवी साह,Sita Devi Sah,धनुषा,dhanusha,3,"(""सीता देवी साह"" OR ""Sita Devi Sah"") since:2025-09-05"
