CandidateName,DistrictName,ConstName,SmartKeywords
भक्ति प्रसाद सिटौला,झापा,4,"""भक्ति प्रसाद सिटौला"" झापा 4"
पलटन ताजपुरिया,झापा,4,"""पलटन ताजपुरिया"" झापा 4"
लोथ्रो हेमरम,झापा,4,"""लोथ्रो हेमरम"" झापा 4"
तुल्सी लक्ष्मी दुमरु (बाटी),झापा,4,"""तुल्सी लक्ष्मी दुमरु (बाटी)"" झापा 4"
दिलिप धिमाल,झापा,4,"""दिलिप धिमाल"" झापा 4"
टेक बहादुर अधिकारी,झापा,4,"""टेक बहादुर अधिकारी"" झापा 4"
किरण लिम्वु  लिङदेन,झापा,4,"""किरण लिम्वु  लिङदेन"" झापा 4"
अमृता देवि राई,झापा,4,"""अमृता देवि राई"" झापा 4"
तारा बहादुर थापा,झापा,4,"""तारा बहादुर थापा"" झापा 4"
सन्तोष तामाङ्ग,झापा,4,"""सन्तोष तामाङ्ग"" झापा 4"
त्रीनारायण राजवंशी,झापा,4,"""त्रीनारायण राजवंशी"" झापा 4"
साजन माझी,झापा,4,"""साजन माझी"" झापा 4"
के.पी शर्मा ओली,झापा,5,"""के.पी शर्मा ओली""|""के.पी शर्मा ओली"" झापा 5"
मंधरा चिमरिया,झापा,5,"""मंधरा चिमरिया""|""मंधरा चिमरिया"" झापा 5"
रन्जित तामाङ,झापा,5,"""रन्जित तामाङ"" झापा 5"
वालेन्द्र शाह,झापा,5,"""वालेन्द्र शाह""|""वालेन्द्र शाह"" झापा 5"
लक्ष्मी प्रसाद संग्रौला,झापा,5,"""लक्ष्मी प्रसाद संग्रौला"" झापा 5"
धिरेन सुब्बा,झापा,5,"""धिरेन सुब्बा"" झापा 5"
अमृतलाल महतो,झापा,5,"""अमृतलाल महतो"" झापा 5"
सान बहादुर मेचे,झापा,5,"""सान बहादुर मेचे"" झापा 5"
पदम बहादुर जवेगु,झापा,5,"""पदम बहादुर जवेगु"" झापा 5"
सविन राई,झापा,5,"""सविन राई"" झापा 5"
सुशान्त साम्पङ राइ,झापा,5,"""सुशान्त साम्पङ राइ"" झापा 5"
समिर तामाङ्ग,झापा,5,"""समिर तामाङ्ग"" झापा 5"
संजय राई,झापा,5,"""संजय राई"" झापा 5"
अमृत रसाइलि,झापा,5,"""अमृत रसाइलि"" झापा 5"
धर्मराज गुरागाई,झापा,5,"""धर्मराज गुरागाई"" झापा 5"
अर्जुन सापकोटा,झापा,5,"""अर्जुन सापकोटा"" झापा 5"
खेमनाथ शिवाकोटी,झापा,5,"""खेमनाथ शिवाकोटी"" झापा 5"
डम्वर शाहु,झापा,5,"""डम्वर शाहु"" झापा 5"
प्रकाश नेपाल,झापा,5,"""प्रकाश नेपाल"" झापा 5"
पुस्कर खतिवडा,झापा,5,"""पुस्कर खतिवडा"" झापा 5"
मातृका भट्टराई,झापा,5,"""मातृका भट्टराई"" झापा 5"
रञ्जना गौतम,झापा,5,"""रञ्जना गौतम"" झापा 5"
विपुल गुरागाई,झापा,5,"""विपुल गुरागाई"" झापा 5"
शोभा भण्डारी,झापा,5,"""शोभा भण्डारी"" झापा 5"
अर्जुन कुमार कार्की,संखुवासभा,1,"""अर्जुन कुमार कार्की""|""अर्जुन कुमार कार्की"" संखुवासभा 1"
