Candidate,EnglishName,Constituency,Author,Text
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,News18 India,के. पी. शर्मा ओली पर गंभीर आरोप  आय से ज़्यादा संपत्ति होने का आरोप स्विट्ज़रलैंड में जमा होने का दावा  बैंक खातों में जमा होने का दावा  #SauBaatKiEkBaat |  @KishoreAjwani
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,डीडी न्यूज़,"#NewsPunch: नेपाल में राजनीतिक संकट  नेपाल के प्रधानमंत्री के.पी. शर्मा ओली ने देशभर में हुए हिंसक विरोध प्रदर्शनों के बाद इस्तीफा दे दिया है,ये प्रदर्शन कथित भ्रष्टाचार, विवादास्पद सोशल मीडिया प्रतिबंध और बढ़ते जनाक्रोश के बीच उनके निष्कासन की मांग को लेकर हुए थे   @AnchorKritika"
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,NewsNasha,"ताज़ा खबर: नेपाल के प्रधानमंत्री के.पी. शर्मा ओली को हेलिकॉप्टर से भागना पड़ा! वीडियो सामने आया है, हालात बिगड़ने के बाद सुरक्षा एजेंसियों ने तत्काल निकासी की।  #Nepal #KPSharmaOli #BreakingNews #NepalPolitics"
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Dr Suraj Yadav Mandal डॉ सूरज मंडल ڈاکٹر سورج منڈل,नेपाल में जन विद्रोह।  नेपाल में Gen Z के विरोध प्रदर्शन की आग ने पूरे देश को अपने चपेट में ले लिया है। कथित तौर पर सोशल मीडिया पर लगाए गए बैन के विरोध में शुरू हुआ यह विरोध प्रदर्शन बड़ी हिंसा में तब्दील हो गया और अब स्थिति यह है कि प्रधानमंत्री के पी शर्मा ओली को इस्तीफा देना
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,MR. हावा जी ,चुनाबी अभियानको क्रममा बिरामीको घरमा पुगेपछि रिपोर्ट हेर्दै डाक्टर के पी शर्मा ओली। उनका एक जेन्जी फ्याँन झ्याल बाट हात छिराएर फोटो निकाल्दै#KPSharmaOli #doctor
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,NDTV Marathi,"Nepal । नेपाळचे पंतप्रधान के. पी. शर्मा ओली यांचा राजीनामा, सतीश ढगे यांचं विश्लेषण  #Nepal #NepalProtests #NepalNews #KPOli #NDTVMarathi  @drsatishdhage"
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Mahesh Mal,यिनको गणतन्त्रमा जनता माझ सवभन्दा सुरक्षित को? १ राजा  २ सुप्रिमो प्रचण्ड  ३ खड्क प्रसाद के पी शर्मा ओली
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,ANI_HindiNews,#WATCH | नेपाल: भक्तपुर स्थित पूर्व प्रधानमंत्री के.पी. शर्मा ओली के निजी आवास में आग लगने पर प्रदर्शनकारियों ने नाचते-गाते जश्न मनाया। कथित भ्रष्टाचार को लेकर सरकार के खिलाफ प्रदर्शनों के बीच नेपाल के प्रधानमंत्री ने आज दोपहर इस्तीफा दे दिया।  (वीडियो सोर्स: टीवी टुडे नेपाल)
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,suman(नरेश मीना का परिवार),नेपाली संसद को  प्रदर्शनकारियों ने आग के हवाले किया! नेपाल  के प्रधानमंत्री के.पी. शर्मा ओली ने दिया इस्तीफ़ा!     #NepalGenZProtest  #KPSharmaOli #NepalGenZProtest
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Jantantra TV,#exclusive के.पी. शर्मा ओली के निजी आवास में आग लगने पर प्रदर्शनकारियों ने नाचते-गाते जश्न मनाया  #NepalGenZProtest #Kathmandu #Nepalprotest #jtv
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Millat Times,भारत से सटे नेपाल के बारा जिले में बुधवार को तब तनाव बढ़ गया जब Gen-Z युवाओं और अपदस्थ प्रधानमंत्री के.पी. शर्मा ओली की पार्टी सीपीएन-यूएमएल के कार्यकर्ताओं के बीच झड़प हो गई। हालात को देखते हुए प्रशासन ने इलाके में कर्फ्यू लगा दिया। बारा जिला प्रशासन ने बताया कि सिमारा एयपोर्ट
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Tarun Rathi,"कभी चीन के सहयोग और कम्युनिस्ट मानसिकता से नेपाल पर शासन करने वाले प्रधानमंत्री के.पी. शर्मा ओली को हेलीकाप्टर पर बैठकर भागना पड़ा।  वे चीन के सहयोग और भ्रष्टाचार से नेपाल पर बलपूर्वक शासन कर रहे थे, लेकिन अंततः समय का पहिया घुमा और युवाओं में हुंकार भरी कि, अब और नहीं!  #नेपाल"
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Umashankar Singh उमाशंकर सिंह,नेपाल में सत्ता छीने जाने के बाद पहली बार सामने आए के पी शर्मा ओली
पुस्कर खतिवडा,Puskr Khtivda,jhapa_5,Aanand .,"चुरोटको प्याकेटमा गुट्खाको प्याकेटमा क्यान्सरको मुख कुहिएको फोटोको सट्टा ओली र देउवाको फोटो राखिदिए, आधा जनसङ्ख्या नसा मुक्त हुने थिए।  - धर्मगुरु पुस्कर खतिवडा ।"
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ANI,Nepal on the Edge: PM Resigns After Gen Z Revolt | Quick Take with Smita Prakash  #Nepal #KPSharmaOli #Youth #GenZ #Protests #Kathmandu #NepalGenZProtest
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Himalaya Times,पाँचथर दुर्घटनाका तस्वीरहरू   ताप्लेजुङबाट धरान तर्फ जाँदै गरेकाे बाेलेराे (तमाेर करिडाेर) कुम्मायक ३ मा अन्दाजी ५०० मिटर तल खसेकेा हाे ।  तस्वीर : प्रकाश नेपाल/ हिटा
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Himalaya Times,"मन्त्री कुलमान घिसिङले इलाम माईखोलामा बाढीका कारण अबरुद्ध मेची राजमार्ग र प्रभावित बस्तिहरूको स्थलगत निरीक्षण गर्नुभएको छ ।  शनिबार इलाम आइपुग्नुभएका मन्त्री घिसिङले माईखोला टापु क्षेत्रमा पुगेर बाढीले पुर्‍याएको क्षतिको अवलोकन गर्नुभएको हो ।  तस्बिरहरू प्रकाश नेपाल,हिटा"
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ImageKhabar,मूख्य सिजनमै इलामका पर्यटकीय स्थल सुनसान/भारतीय पर्यटकको आगमन पनि ज्यादै न्युन । Video Report: Prakash Nepal For More:  https:// imagekhabar.com #imagechannelhd #imagekhabar #imagechannel #ilam
प्रकाश नेपाल,Prakash Nepal,jhapa_5,मेरा संविधान,"स्मिता प्रकाश: नेपाल में सरकारें इतनी बार क्यों गिरती हैं?   क्या युवा नेपालियों को लगता है कि लोकतंत्र का प्रयोग कारगर नहीं रहा?  मनीषा कोइराला : नेपाल के संविधान में राजतंत्र को जगह मिलनी चाहिए थी।  ""नेपाल में 80-90% लोग हिंदू हैं और राजा के प्रति आज भी सम्मान है।""  ""इस भावना"
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ImageKhabar,नौमति बाजा संरक्षणमा महिला सक्रिय Video Report: Prakash Nepal #imagechannelhd #imagekhabar #imagechannel
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ImageKhabar,ईलाममा सवारी दूर्घना न्यूनीकरणका लागि ट्राफिक र यातायात व्यवस्था कार्यालयको संयुक्त चेकिङ प्रभावकारी बन्दै Video Report: Prakash Nepal For More:  https:// imagekhabar.com #imagechannelhd #imagekhabar #imagechannel
प्रकाश नेपाल,Prakash Nepal,jhapa_5,ImageKhabar,सहाराविहीन बालबालिकाको भरोसा Video Report: Prakash Nepal For More:  https:// imagekhabar.com #imagechannelhd #imagekhabar #imagechannel
प्रकाश नेपाल,Prakash Nepal,jhapa_5,HitaDaily Online,यात्रुलाई सहयोग गर्दै नगरप्रहरी गत असोज १८ गते आएको बाढी र पहिरोले अबरुद्ध बनेको इलाम माईखोला राजदुवाली खण्डको राजमार्ग अझै सुचारू हुन सकेको छैन । अबरुद्ध सडक हिडेर पारगर्नुपर्ने  बाध्यता छ यात्रुलाई । यात्रुलाई सहयोग गर्दै इलाम नगरपालिकाका नगरप्रहरी । प्रकाश नेपाल/हिटा ।
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,Hi
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,#WealthsimpleGold
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,https:// google.com/sorry/index?co ntinue=https://www.google.co.id/search%3Fq%3Dkoko%2B5000%26hl%3Did%26gl%3Did&hl=id&q=EhAkAUkAkuH4eqv1xN7Ge5jVGLfc5sgGIjCE9h78eslIOYCWXCeVy-xmD6m_LkaGuOZDyDGHPen_15NZAzaiYkcEyax4bgJ89NUyAnJSWgFD …
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,The X Rules
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,"Try  http:// Kaze.ai and Get 3 Free Credits!         Sign up and try any tool you like (like watermark removal, restoration, or expansion). You’ll get 3 free credits to start!         https:// kaze.ai/invite?invite_ code=XGWJEDQVDE221AC6&utm_source=referal&utm_medium=referal&utm_campaign=referal&utm_content=XGWJEDQVDE221AC6 …       Let’s make photo editing easy and creative!"
प्रकाश नेपाल,Prakash Nepal,jhapa_5,Prakash Nepal,Video haluk raja
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,मालापानी माथि चढेर वाईवाई माथि प्रहार
प्रकाश नेपाल,Prakash Nepal,jhapa_5,@prakash Nepal,शुभकामना दाई
