CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,NepaliSearchQuery,EnglishSearchQuery,PowerSearchQuery,FileSaveName
शेर बहादुर वि क,Sher Bahadur Vi K,अछाम,achham,2,"""शेर बहादुर वि क"" since:2025-09-05","""Sher Bahadur Vi K"" since:2025-09-05","(""शेर बहादुर वि क"" OR ""Sher Bahadur Vi K"") since:2025-09-05",achham_2.csv
खिम बहादुर घर्ती मगर,Khim Bahadur Gharti Magar,अर्घाखाँची,arghakhanchi,1,"""खिम बहादुर घर्ती मगर"" since:2025-09-05","""Khim Bahadur Gharti Magar"" since:2025-09-05","(""खिम बहादुर घर्ती मगर"" OR ""Khim Bahadur Gharti Magar"") since:2025-09-05",arghakhanchi_1.csv
झबिन्द्र फुल्लेल,Jhbindr Phullel,अर्घाखाँची,arghakhanchi,1,"""झबिन्द्र फुल्लेल"" since:2025-09-05","""Jhbindr Phullel"" since:2025-09-05","(""झबिन्द्र फुल्लेल"" OR ""Jhbindr Phullel"") since:2025-09-05",arghakhanchi_1.csv
टुक बहादुर चेवाली,Tuk Bahadur Chevali,अर्घाखाँची,arghakhanchi,1,"""टुक बहादुर चेवाली"" since:2025-09-05","""Tuk Bahadur Chevali"" since:2025-09-05","(""टुक बहादुर चेवाली"" OR ""Tuk Bahadur Chevali"") since:2025-09-05",arghakhanchi_1.csv
दुर्ग बहादुर भाट क्षेत्री,Durg Bahadur Bhat Chhetri,अर्घाखाँची,arghakhanchi,1,"""दुर्ग बहादुर भाट क्षेत्री"" since:2025-09-05","""Durg Bahadur Bhat Chhetri"" since:2025-09-05","(""दुर्ग बहादुर भाट क्षेत्री"" OR ""Durg Bahadur Bhat Chhetri"") since:2025-09-05",arghakhanchi_1.csv
पम्फा श्रेष्ठ,Pampha Shrestha,अर्घाखाँची,arghakhanchi,1,"""पम्फा श्रेष्ठ"" since:2025-09-05","""Pampha Shrestha"" since:2025-09-05","(""पम्फा श्रेष्ठ"" OR ""Pampha Shrestha"") since:2025-09-05",arghakhanchi_1.csv
पशुपति नाथ ढकाल,Pshupti Nath Dhakal,अर्घाखाँची,arghakhanchi,1,"""पशुपति नाथ ढकाल"" since:2025-09-05","""Pshupti Nath Dhakal"" since:2025-09-05","(""पशुपति नाथ ढकाल"" OR ""Pshupti Nath Dhakal"") since:2025-09-05",arghakhanchi_1.csv
पिताम्वर भुसाल,Pitamvr Bhusal,अर्घाखाँची,arghakhanchi,1,"""पिताम्वर भुसाल"" since:2025-09-05","""Pitamvr Bhusal"" since:2025-09-05","(""पिताम्वर भुसाल"" OR ""Pitamvr Bhusal"") since:2025-09-05",arghakhanchi_1.csv
पुस्कर नाथ आचार्य,Puskr Nath Acharya,अर्घाखाँची,arghakhanchi,1,"""पुस्कर नाथ आचार्य"" since:2025-09-05","""Puskr Nath Acharya"" since:2025-09-05","(""पुस्कर नाथ आचार्य"" OR ""Puskr Nath Acharya"") since:2025-09-05",arghakhanchi_1.csv
रवि शाह,Rabi Shah,अर्घाखाँची,arghakhanchi,1,"""रवि शाह"" since:2025-09-05","""Rabi Shah"" since:2025-09-05","(""रवि शाह"" OR ""Rabi Shah"") since:2025-09-05",arghakhanchi_1.csv
राम वहादुर चौहान,Ram Bahadur Chauhan,अर्घाखाँची,arghakhanchi,1,"""राम वहादुर चौहान"" since:2025-09-05","""Ram Bahadur Chauhan"" since:2025-09-05","(""राम वहादुर चौहान"" OR ""Ram Bahadur Chauhan"") since:2025-09-05",arghakhanchi_1.csv
विष्णु प्रसाद खनाल,Vishnu Prasad Khanal,अर्घाखाँची,arghakhanchi,1,"""विष्णु प्रसाद खनाल"" since:2025-09-05","""Vishnu Prasad Khanal"" since:2025-09-05","(""विष्णु प्रसाद खनाल"" OR ""Vishnu Prasad Khanal"") since:2025-09-05",arghakhanchi_1.csv
विष्णु बहादुर गाहा,Vishnu Bahadur Gaha,अर्घाखाँची,arghakhanchi,1,"""विष्णु बहादुर गाहा"" since:2025-09-05","""Vishnu Bahadur Gaha"" since:2025-09-05","(""विष्णु बहादुर गाहा"" OR ""Vishnu Bahadur Gaha"") since:2025-09-05",arghakhanchi_1.csv
सुर्य बहादुर गुरुङग,Sury Bahadur Gurung,अर्घाखाँची,arghakhanchi,1,"""सुर्य बहादुर गुरुङग"" since:2025-09-05","""Sury Bahadur Gurung"" since:2025-09-05","(""सुर्य बहादुर गुरुङग"" OR ""Sury Bahadur Gurung"") since:2025-09-05",arghakhanchi_1.csv
हरी प्रसाद भुसाल,Hari Prasad Bhusal,अर्घाखाँची,arghakhanchi,1,"""हरी प्रसाद भुसाल"" since:2025-09-05","""Hari Prasad Bhusal"" since:2025-09-05","(""हरी प्रसाद भुसाल"" OR ""Hari Prasad Bhusal"") since:2025-09-05",arghakhanchi_1.csv
हिमाल भुसाल,Himal Bhusal,अर्घाखाँची,arghakhanchi,1,"""हिमाल भुसाल"" since:2025-09-05","""Himal Bhusal"" since:2025-09-05","(""हिमाल भुसाल"" OR ""Himal Bhusal"") since:2025-09-05",arghakhanchi_1.csv
कल्याण आचार्य,Klyan Acharya,बाग्लुङ,baglung,1,"""कल्याण आचार्य"" since:2025-09-05","""Klyan Acharya"" since:2025-09-05","(""कल्याण आचार्य"" OR ""Klyan Acharya"") since:2025-09-05",baglung_1.csv
कृष्ण प्रसाद शर्मा अधिकारी,Krishna Prasad Sharma Adhikari,बाग्लुङ,baglung,1,"""कृष्ण प्रसाद शर्मा अधिकारी"" since:2025-09-05","""Krishna Prasad Sharma Adhikari"" since:2025-09-05","(""कृष्ण प्रसाद शर्मा अधिकारी"" OR ""Krishna Prasad Sharma Adhikari"") since:2025-09-05",baglung_1.csv
गुमा कमुारी बुढा राना मगर,Guma Kmuari Budha Rana Magar,बाग्लुङ,baglung,1,"""गुमा कमुारी बुढा राना मगर"" since:2025-09-05","""Guma Kmuari Budha Rana Magar"" since:2025-09-05","(""गुमा कमुारी बुढा राना मगर"" OR ""Guma Kmuari Budha Rana Magar"") since:2025-09-05",baglung_1.csv
चित्र प्रसाद सापकोटा,Chitr Prasad Sapkota,बाग्लुङ,baglung,1,"""चित्र प्रसाद सापकोटा"" since:2025-09-05","""Chitr Prasad Sapkota"" since:2025-09-05","(""चित्र प्रसाद सापकोटा"" OR ""Chitr Prasad Sapkota"") since:2025-09-05",baglung_1.csv
टेक वहादुर के.सी.,Tek Bahadur K.C.,बाग्लुङ,baglung,1,"""टेक वहादुर के.सी."" since:2025-09-05","""Tek Bahadur K.C."" since:2025-09-05","(""टेक वहादुर के.सी."" OR ""Tek Bahadur K.C."") since:2025-09-05",baglung_1.csv
भक्त बहादुर बि.क,Bhakta Bahadur B.K.,बाग्लुङ,baglung,1,"""भक्त बहादुर बि.क"" since:2025-09-05","""Bhakta Bahadur B.K."" since:2025-09-05","(""भक्त बहादुर बि.क"" OR ""Bhakta Bahadur B.K."") since:2025-09-05",baglung_1.csv
भिम बहादुर श्रीस राना,Bhim Bahadur Shris Rana,बाग्लुङ,baglung,1,"""भिम बहादुर श्रीस राना"" since:2025-09-05","""Bhim Bahadur Shris Rana"" since:2025-09-05","(""भिम बहादुर श्रीस राना"" OR ""Bhim Bahadur Shris Rana"") since:2025-09-05",baglung_1.csv
लाल बहादुर घर्ती,Lal Bahadur Gharti,बाग्लुङ,baglung,1,"""लाल बहादुर घर्ती"" since:2025-09-05","""Lal Bahadur Gharti"" since:2025-09-05","(""लाल बहादुर घर्ती"" OR ""Lal Bahadur Gharti"") since:2025-09-05",baglung_1.csv
सहविर थापा,Shvir Thapa,बाग्लुङ,baglung,1,"""सहविर थापा"" since:2025-09-05","""Shvir Thapa"" since:2025-09-05","(""सहविर थापा"" OR ""Shvir Thapa"") since:2025-09-05",baglung_1.csv
सुशील खड्का,Sushil Khadka,बाग्लुङ,baglung,1,"""सुशील खड्का"" since:2025-09-05","""Sushil Khadka"" since:2025-09-05","(""सुशील खड्का"" OR ""Sushil Khadka"") since:2025-09-05",baglung_1.csv
हिरा बहादुर खत्री,Hira Bahadur Khatri,बाग्लुङ,baglung,1,"""हिरा बहादुर खत्री"" since:2025-09-05","""Hira Bahadur Khatri"" since:2025-09-05","(""हिरा बहादुर खत्री"" OR ""Hira Bahadur Khatri"") since:2025-09-05",baglung_1.csv
अञ्चल शाही,Anchal Shahi,बाग्लुङ,baglung,2,"""अञ्चल शाही"" since:2025-09-05","""Anchal Shahi"" since:2025-09-05","(""अञ्चल शाही"" OR ""Anchal Shahi"") since:2025-09-05",baglung_2.csv
जुन बहादुर थापा मगर,Jun Bahadur Thapa Magar,बाग्लुङ,baglung,2,"""जुन बहादुर थापा मगर"" since:2025-09-05","""Jun Bahadur Thapa Magar"" since:2025-09-05","(""जुन बहादुर थापा मगर"" OR ""Jun Bahadur Thapa Magar"") since:2025-09-05",baglung_2.csv
ज्ञामनाथ गैरे,Jnyamnath Gaire,बाग्लुङ,baglung,2,"""ज्ञामनाथ गैरे"" since:2025-09-05","""Jnyamnath Gaire"" since:2025-09-05","(""ज्ञामनाथ गैरे"" OR ""Jnyamnath Gaire"") since:2025-09-05",baglung_2.csv
टेक प्रसाद कामी,Tek Prasad Kami,बाग्लुङ,baglung,2,"""टेक प्रसाद कामी"" since:2025-09-05","""Tek Prasad Kami"" since:2025-09-05","(""टेक प्रसाद कामी"" OR ""Tek Prasad Kami"") since:2025-09-05",baglung_2.csv
टेक राज पौडेल,Tek Raj Paudel,बाग्लुङ,baglung,2,"""टेक राज पौडेल"" since:2025-09-05","""Tek Raj Paudel"" since:2025-09-05","(""टेक राज पौडेल"" OR ""Tek Raj Paudel"") since:2025-09-05",baglung_2.csv
नर बहादुर बुढा,Nr Bahadur Budha,बाग्लुङ,baglung,2,"""नर बहादुर बुढा"" since:2025-09-05","""Nr Bahadur Budha"" since:2025-09-05","(""नर बहादुर बुढा"" OR ""Nr Bahadur Budha"") since:2025-09-05",baglung_2.csv
पदम बहादुर कुवँर,Padam Bahadur Kuvnr,बाग्लुङ,baglung,2,"""पदम बहादुर कुवँर"" since:2025-09-05","""Padam Bahadur Kuvnr"" since:2025-09-05","(""पदम बहादुर कुवँर"" OR ""Padam Bahadur Kuvnr"") since:2025-09-05",baglung_2.csv
पूर्ण बहादुर घर्ती मगर,Purna Bahadur Gharti Magar,बाग्लुङ,baglung,2,"""पूर्ण बहादुर घर्ती मगर"" since:2025-09-05","""Purna Bahadur Gharti Magar"" since:2025-09-05","(""पूर्ण बहादुर घर्ती मगर"" OR ""Purna Bahadur Gharti Magar"") since:2025-09-05",baglung_2.csv
मन्जु शर्मा,Mnju Sharma,बाग्लुङ,baglung,2,"""मन्जु शर्मा"" since:2025-09-05","""Mnju Sharma"" since:2025-09-05","(""मन्जु शर्मा"" OR ""Mnju Sharma"") since:2025-09-05",baglung_2.csv
लोकेन्द्र घिमिरे,Lokendra Ghimire,बाग्लुङ,baglung,2,"""लोकेन्द्र घिमिरे"" since:2025-09-05","""Lokendra Ghimire"" since:2025-09-05","(""लोकेन्द्र घिमिरे"" OR ""Lokendra Ghimire"") since:2025-09-05",baglung_2.csv
सोम शर्मा,Som Sharma,बाग्लुङ,baglung,2,"""सोम शर्मा"" since:2025-09-05","""Som Sharma"" since:2025-09-05","(""सोम शर्मा"" OR ""Som Sharma"") since:2025-09-05",baglung_2.csv
हर्क बहादुर पुन,Harka Bahadur Pun,बाग्लुङ,baglung,2,"""हर्क बहादुर पुन"" since:2025-09-05","""Harka Bahadur Pun"" since:2025-09-05","(""हर्क बहादुर पुन"" OR ""Harka Bahadur Pun"") since:2025-09-05",baglung_2.csv
आन सिंह भण्डारी,An Singh Bhandari,बैतडी,baitadi,1,"""आन सिंह भण्डारी"" since:2025-09-05","""An Singh Bhandari"" since:2025-09-05","(""आन सिंह भण्डारी"" OR ""An Singh Bhandari"") since:2025-09-05",baitadi_1.csv
गजेन्द्र् राज पाण्डेय,Gjendr Raj Pandey,बैतडी,baitadi,1,"""गजेन्द्र् राज पाण्डेय"" since:2025-09-05","""Gjendr Raj Pandey"" since:2025-09-05","(""गजेन्द्र् राज पाण्डेय"" OR ""Gjendr Raj Pandey"") since:2025-09-05",baitadi_1.csv
चतुर बहादुर चन्द,Chatur Bahadur Chand,बैतडी,baitadi,1,"""चतुर बहादुर चन्द"" since:2025-09-05","""Chatur Bahadur Chand"" since:2025-09-05","(""चतुर बहादुर चन्द"" OR ""Chatur Bahadur Chand"") since:2025-09-05",baitadi_1.csv
जय प्रकाश पन्त,Jay Prakash Pant,बैतडी,baitadi,1,"""जय प्रकाश पन्त"" since:2025-09-05","""Jay Prakash Pant"" since:2025-09-05","(""जय प्रकाश पन्त"" OR ""Jay Prakash Pant"") since:2025-09-05",baitadi_1.csv
दामोदर भण्डारी,Damodr Bhandari,बैतडी,baitadi,1,"""दामोदर भण्डारी"" since:2025-09-05","""Damodr Bhandari"" since:2025-09-05","(""दामोदर भण्डारी"" OR ""Damodr Bhandari"") since:2025-09-05",baitadi_1.csv
नवराज कोइराला,Nvraj Koirala,बैतडी,baitadi,1,"""नवराज कोइराला"" since:2025-09-05","""Nvraj Koirala"" since:2025-09-05","(""नवराज कोइराला"" OR ""Nvraj Koirala"") since:2025-09-05",baitadi_1.csv
प्रमानन्द भट्ट,Pramananda Bhatt,बैतडी,baitadi,1,"""प्रमानन्द भट्ट"" since:2025-09-05","""Pramananda Bhatt"" since:2025-09-05","(""प्रमानन्द भट्ट"" OR ""Pramananda Bhatt"") since:2025-09-05",baitadi_1.csv
भुपेन बाहादुर चन्द,Bhupen Bahadur Chand,बैतडी,baitadi,1,"""भुपेन बाहादुर चन्द"" since:2025-09-05","""Bhupen Bahadur Chand"" since:2025-09-05","(""भुपेन बाहादुर चन्द"" OR ""Bhupen Bahadur Chand"") since:2025-09-05",baitadi_1.csv
राम बहादुर कुँवर,Ram Bahadur Kunwar,बैतडी,baitadi,1,"""राम बहादुर कुँवर"" since:2025-09-05","""Ram Bahadur Kunwar"" since:2025-09-05","(""राम बहादुर कुँवर"" OR ""Ram Bahadur Kunwar"") since:2025-09-05",baitadi_1.csv
विसन सिंह वोहरा,Visn Singh Vohra,बैतडी,baitadi,1,"""विसन सिंह वोहरा"" since:2025-09-05","""Visn Singh Vohra"" since:2025-09-05","(""विसन सिंह वोहरा"" OR ""Visn Singh Vohra"") since:2025-09-05",baitadi_1.csv
हरि मोहन भण्डारी,Hari Mohn Bhandari,बैतडी,baitadi,1,"""हरि मोहन भण्डारी"" since:2025-09-05","""Hari Mohn Bhandari"" since:2025-09-05","(""हरि मोहन भण्डारी"" OR ""Hari Mohn Bhandari"") since:2025-09-05",baitadi_1.csv
ऐन बहादुर महर,Ain Bahadur Mahar,बझाङ,bajhang,1,"""ऐन बहादुर महर"" since:2025-09-05","""Ain Bahadur Mahar"" since:2025-09-05","(""ऐन बहादुर महर"" OR ""Ain Bahadur Mahar"") since:2025-09-05",bajhang_1.csv
दल वहादुर वोहरा,Dl Bahadur Vohra,बझाङ,bajhang,1,"""दल वहादुर वोहरा"" since:2025-09-05","""Dl Bahadur Vohra"" since:2025-09-05","(""दल वहादुर वोहरा"" OR ""Dl Bahadur Vohra"") since:2025-09-05",bajhang_1.csv
प्रकाश रसाइली स्नेही,Prakash Rsaili Snehi,बझाङ,bajhang,1,"""प्रकाश रसाइली स्नेही"" since:2025-09-05","""Prakash Rsaili Snehi"" since:2025-09-05","(""प्रकाश रसाइली स्नेही"" OR ""Prakash Rsaili Snehi"") since:2025-09-05",bajhang_1.csv
बिश्व प्रकाश जेठारा,Bishv Prakash Jethara,बझाङ,bajhang,1,"""बिश्व प्रकाश जेठारा"" since:2025-09-05","""Bishv Prakash Jethara"" since:2025-09-05","(""बिश्व प्रकाश जेठारा"" OR ""Bishv Prakash Jethara"") since:2025-09-05",bajhang_1.csv
भरत मल्ल,Bharat Malla,बझाङ,bajhang,1,"""भरत मल्ल"" since:2025-09-05","""Bharat Malla"" since:2025-09-05","(""भरत मल्ल"" OR ""Bharat Malla"") since:2025-09-05",bajhang_1.csv
मिन बहादुर कुवँर,Min Bahadur Kuvnr,बझाङ,bajhang,1,"""मिन बहादुर कुवँर"" since:2025-09-05","""Min Bahadur Kuvnr"" since:2025-09-05","(""मिन बहादुर कुवँर"" OR ""Min Bahadur Kuvnr"") since:2025-09-05",bajhang_1.csv
शैलेश कुमार सिंह,Shailesh Kumar Singh,बझाङ,bajhang,1,"""शैलेश कुमार सिंह"" since:2025-09-05","""Shailesh Kumar Singh"" since:2025-09-05","(""शैलेश कुमार सिंह"" OR ""Shailesh Kumar Singh"") since:2025-09-05",bajhang_1.csv
उपेन्द्र शाही,Upendr Shahi,बाजुरा,bajura,1,"""उपेन्द्र शाही"" since:2025-09-05","""Upendr Shahi"" since:2025-09-05","(""उपेन्द्र शाही"" OR ""Upendr Shahi"") since:2025-09-05",bajura_1.csv
केशर बहादुर शाही,Keshar Bahadur Shahi,बाजुरा,bajura,1,"""केशर बहादुर शाही"" since:2025-09-05","""Keshar Bahadur Shahi"" since:2025-09-05","(""केशर बहादुर शाही"" OR ""Keshar Bahadur Shahi"") since:2025-09-05",bajura_1.csv
जनक राज गिरी,Janak Raj Giri,बाजुरा,bajura,1,"""जनक राज गिरी"" since:2025-09-05","""Janak Raj Giri"" since:2025-09-05","(""जनक राज गिरी"" OR ""Janak Raj Giri"") since:2025-09-05",bajura_1.csv
दिपक कुमार डि.सी.,Deepak Kumar Di Si,बाजुरा,bajura,1,"""दिपक कुमार डि.सी."" since:2025-09-05","""Deepak Kumar Di Si"" since:2025-09-05","(""दिपक कुमार डि.सी."" OR ""Deepak Kumar Di Si"") since:2025-09-05",bajura_1.csv
प्रकाश वहादुर शाह,Prakash Bahadur Shah,बाजुरा,bajura,1,"""प्रकाश वहादुर शाह"" since:2025-09-05","""Prakash Bahadur Shah"" since:2025-09-05","(""प्रकाश वहादुर शाह"" OR ""Prakash Bahadur Shah"") since:2025-09-05",bajura_1.csv
भुपेन्द्र  ल्वार ,Bhupendr Lvar,बाजुरा,bajura,1,"""भुपेन्द्र  ल्वार "" since:2025-09-05","""Bhupendr Lvar"" since:2025-09-05","(""भुपेन्द्र  ल्वार "" OR ""Bhupendr Lvar"") since:2025-09-05",bajura_1.csv
लाल बहादुर थापा,Lal Bahadur Thapa,बाजुरा,bajura,1,"""लाल बहादुर थापा"" since:2025-09-05","""Lal Bahadur Thapa"" since:2025-09-05","(""लाल बहादुर थापा"" OR ""Lal Bahadur Thapa"") since:2025-09-05",bajura_1.csv
हेमराज थापा,Hemraj Thapa,बाजुरा,bajura,1,"""हेमराज थापा"" since:2025-09-05","""Hemraj Thapa"" since:2025-09-05","(""हेमराज थापा"" OR ""Hemraj Thapa"") since:2025-09-05",bajura_1.csv
कृष्णा के.सी.,Krishna K.C.,बाँके,banke,1,"""कृष्णा के.सी."" since:2025-09-05","""Krishna K.C."" since:2025-09-05","(""कृष्णा के.सी."" OR ""Krishna K.C."") since:2025-09-05",banke_1.csv
तुलसी राम सापकोटा,Tulsi Ram Sapkota,बाँके,banke,1,"""तुलसी राम सापकोटा"" since:2025-09-05","""Tulsi Ram Sapkota"" since:2025-09-05","(""तुलसी राम सापकोटा"" OR ""Tulsi Ram Sapkota"") since:2025-09-05",banke_1.csv
दिपक वुढाथोकी,Deepak Vudhathoki,बाँके,banke,1,"""दिपक वुढाथोकी"" since:2025-09-05","""Deepak Vudhathoki"" since:2025-09-05","(""दिपक वुढाथोकी"" OR ""Deepak Vudhathoki"") since:2025-09-05",banke_1.csv
दिवाकर​ शर्मा,Divakr Sharma,बाँके,banke,1,"""दिवाकर​ शर्मा"" since:2025-09-05","""Divakr Sharma"" since:2025-09-05","(""दिवाकर​ शर्मा"" OR ""Divakr Sharma"") since:2025-09-05",banke_1.csv
धन बहादुर खड्का,Dhan Bahadur Khadka,बाँके,banke,1,"""धन बहादुर खड्का"" since:2025-09-05","""Dhan Bahadur Khadka"" since:2025-09-05","(""धन बहादुर खड्का"" OR ""Dhan Bahadur Khadka"") since:2025-09-05",banke_1.csv
नरेन्द्र प्रसाद पाण्डे,Narendra Prasad Pandey,बाँके,banke,1,"""नरेन्द्र प्रसाद पाण्डे"" since:2025-09-05","""Narendra Prasad Pandey"" since:2025-09-05","(""नरेन्द्र प्रसाद पाण्डे"" OR ""Narendra Prasad Pandey"") since:2025-09-05",banke_1.csv
नारायण प्रसाद गौडेल,Narayan Prasad Gaudel,बाँके,banke,1,"""नारायण प्रसाद गौडेल"" since:2025-09-05","""Narayan Prasad Gaudel"" since:2025-09-05","(""नारायण प्रसाद गौडेल"" OR ""Narayan Prasad Gaudel"") since:2025-09-05",banke_1.csv
प्रदिप कुमार शाह,Pradip Kumar Shah,बाँके,banke,1,"""प्रदिप कुमार शाह"" since:2025-09-05","""Pradip Kumar Shah"" since:2025-09-05","(""प्रदिप कुमार शाह"" OR ""Pradip Kumar Shah"") since:2025-09-05",banke_1.csv
फेरुलाल चौधरी,Pherulal Chaudhary,बाँके,banke,1,"""फेरुलाल चौधरी"" since:2025-09-05","""Pherulal Chaudhary"" since:2025-09-05","(""फेरुलाल चौधरी"" OR ""Pherulal Chaudhary"") since:2025-09-05",banke_1.csv
भरत निधी तिवारी,Bharat Nidhi Tiwari,बाँके,banke,1,"""भरत निधी तिवारी"" since:2025-09-05","""Bharat Nidhi Tiwari"" since:2025-09-05","(""भरत निधी तिवारी"" OR ""Bharat Nidhi Tiwari"") since:2025-09-05",banke_1.csv
राजेन्द्र कुमार विश्वकर्मा,Rajendra Kumar Vishwakarma,बाँके,banke,1,"""राजेन्द्र कुमार विश्वकर्मा"" since:2025-09-05","""Rajendra Kumar Vishwakarma"" since:2025-09-05","(""राजेन्द्र कुमार विश्वकर्मा"" OR ""Rajendra Kumar Vishwakarma"") since:2025-09-05",banke_1.csv
सुरेश कुमार चौधरी,Suresh Kumar Chaudhary,बाँके,banke,1,"""सुरेश कुमार चौधरी"" since:2025-09-05","""Suresh Kumar Chaudhary"" since:2025-09-05","(""सुरेश कुमार चौधरी"" OR ""Suresh Kumar Chaudhary"") since:2025-09-05",banke_1.csv
सुर्जा थापा,Surja Thapa,बाँके,banke,1,"""सुर्जा थापा"" since:2025-09-05","""Surja Thapa"" since:2025-09-05","(""सुर्जा थापा"" OR ""Surja Thapa"") since:2025-09-05",banke_1.csv
सुर्य प्रसाद ढकाल,Sury Prasad Dhakal,बाँके,banke,1,"""सुर्य प्रसाद ढकाल"" since:2025-09-05","""Sury Prasad Dhakal"" since:2025-09-05","(""सुर्य प्रसाद ढकाल"" OR ""Sury Prasad Dhakal"") since:2025-09-05",banke_1.csv
अब्दुल उमर साई,Abdul Umr Sai,बाँके,banke,2,"""अब्दुल उमर साई"" since:2025-09-05","""Abdul Umr Sai"" since:2025-09-05","(""अब्दुल उमर साई"" OR ""Abdul Umr Sai"") since:2025-09-05",banke_2.csv
इरफान अहमद शेख,Irphan Ahmad Shekh,बाँके,banke,2,"""इरफान अहमद शेख"" since:2025-09-05","""Irphan Ahmad Shekh"" since:2025-09-05","(""इरफान अहमद शेख"" OR ""Irphan Ahmad Shekh"") since:2025-09-05",banke_2.csv
