Name,District,No,Party,Symbol,KeywordList
कृष्ण कुमार सुल्तानिया,धनुषा,3,स्वतन्त्र,सोफा,"""कृष्ण कुमार सुल्तानिया""|""कृष्ण"" धनुषा|""कृष्ण"" 3|धनुषा 3 चुनाव|#कृष्ण|""कृष्ण कुमार सुल्तानिया"" धनुषा"
केवल ठाकुर,धनुषा,3,स्वतन्त्र,आरी,"""केवल ठाकुर""|""केवल"" धनुषा|""केवल"" 3|धनुषा 3 चुनाव|#केवल|""केवल ठाकुर"" धनुषा"
दिवाकर कुमार साह,धनुषा,3,स्वतन्त्र,आँप,"""दिवाकर कुमार साह""|""दिवाकर"" धनुषा|""दिवाकर"" 3|धनुषा 3 चुनाव|#दिवाकर|""दिवाकर कुमार साह"" धनुषा"
नबोनाथ ठाकुर,धनुषा,3,स्वतन्त्र,पेट्रोल पम्प,"""नबोनाथ ठाकुर""|""नबोनाथ"" धनुषा|""नबोनाथ"" 3|धनुषा 3 चुनाव|#नबोनाथ|""नबोनाथ ठाकुर"" धनुषा"
नवीन कुमार रंजन,धनुषा,3,स्वतन्त्र,माना पाथी,"""नवीन कुमार रंजन""|""नवीन"" धनुषा|""नवीन"" 3|धनुषा 3 चुनाव|#नवीन|""नवीन कुमार रंजन"" धनुषा"
बिक्रम साह ,धनुषा,3,स्वतन्त्र,क्याल्कुलेटर,"""बिक्रम साह ""|""बिक्रम"" धनुषा|""बिक्रम"" 3|धनुषा 3 चुनाव|#बिक्रम|""बिक्रम साह "" धनुषा"
भरत कुमार साह,धनुषा,3,स्वतन्त्र,खसीको टाउको,"""भरत कुमार साह""|""भरत"" धनुषा|""भरत"" 3|धनुषा 3 चुनाव|#भरत|""भरत कुमार साह"" धनुषा"
मनोज कुमार साह,धनुषा,3,स्वतन्त्र,दूरबिन,"""मनोज कुमार साह""|""मनोज"" धनुषा|""मनोज"" 3|धनुषा 3 चुनाव|#मनोज|""मनोज कुमार साह"" धनुषा"
मात्रिका प्रसाद दास,धनुषा,3,स्वतन्त्र,स्टाप्लर,"""मात्रिका प्रसाद दास""|""मात्रिका"" धनुषा|""मात्रिका"" 3|धनुषा 3 चुनाव|#मात्रिका|""मात्रिका प्रसाद दास"" धनुषा"
मुकेश यादव,धनुषा,3,स्वतन्त्र,सिरिन्ज,"""मुकेश यादव""|""मुकेश"" धनुषा|""मुकेश"" 3|धनुषा 3 चुनाव|#मुकेश|""मुकेश यादव"" धनुषा"
राज कुमार भण्डारी,धनुषा,3,स्वतन्त्र,पंखा,"""राज कुमार भण्डारी""|""राज"" धनुषा|""राज"" 3|धनुषा 3 चुनाव|#राज|""राज कुमार भण्डारी"" धनुषा"
राज कुमारी साह,धनुषा,3,स्वतन्त्र,कप र प्लेट,"""राज कुमारी साह""|""राज"" धनुषा|""राज"" 3|धनुषा 3 चुनाव|#राज|""राज कुमारी साह"" धनुषा"
राजु कुमार साह,धनुषा,3,स्वतन्त्र,हेल्मेट,"""राजु कुमार साह""|""राजु"" धनुषा|""राजु"" 3|धनुषा 3 चुनाव|#राजु|""राजु कुमार साह"" धनुषा"
रामसरोज साह,धनुषा,3,स्वतन्त्र,फिरफिरे,"""रामसरोज साह""|""रामसरोज"" धनुषा|""रामसरोज"" 3|धनुषा 3 चुनाव|#रामसरोज|""रामसरोज साह"" धनुषा"
रोशन यादव,धनुषा,3,स्वतन्त्र,चेसगोटी,"""रोशन यादव""|""रोशन"" धनुषा|""रोशन"" 3|धनुषा 3 चुनाव|#रोशन|""रोशन यादव"" धनुषा"
विनोद कर्ण,धनुषा,3,स्वतन्त्र,बाकस,"""विनोद कर्ण""|""विनोद"" धनुषा|""विनोद"" 3|धनुषा 3 चुनाव|#विनोद|""विनोद कर्ण"" धनुषा"
श्याम किशोर साह,धनुषा,3,स्वतन्त्र,व्याडमिन्टन कर्क,"""श्याम किशोर साह""|""श्याम"" धनुषा|""श्याम"" 3|धनुषा 3 चुनाव|#श्याम|""श्याम किशोर साह"" धनुषा"
सीता देवी,धनुषा,3,स्वतन्त्र,तिलहरी,"""सीता देवी""|""सीता"" धनुषा|""सीता"" 3|धनुषा 3 चुनाव|#सीता|""सीता देवी"" धनुषा"
सीता देवी साह,धनुषा,3,स्वतन्त्र,रिक्सा,"""सीता देवी साह""|""सीता"" धनुषा|""सीता"" 3|धनुषा 3 चुनाव|#सीता|""सीता देवी साह"" धनुषा"
सीताराम महतो,धनुषा,3,स्वतन्त्र,ट्रफी,"""सीताराम महतो""|""सीताराम"" धनुषा|""सीताराम"" 3|धनुषा 3 चुनाव|#सीताराम|""सीताराम महतो"" धनुषा"
सुनिल साह,धनुषा,3,स्वतन्त्र,कैंची,"""सुनिल साह""|""सुनिल"" धनुषा|""सुनिल"" 3|धनुषा 3 चुनाव|#सुनिल|""सुनिल साह"" धनुषा"
सुरैत मंडल,धनुषा,3,स्वतन्त्र,फर्सी,"""सुरैत मंडल""|""सुरैत"" धनुषा|""सुरैत"" 3|धनुषा 3 चुनाव|#सुरैत|""सुरैत मंडल"" धनुषा"
सुवदार यादव,धनुषा,3,स्वतन्त्र,मसी,"""सुवदार यादव""|""सुवदार"" धनुषा|""सुवदार"" 3|धनुषा 3 चुनाव|#सुवदार|""सुवदार यादव"" धनुषा"
हरि नारायण यादव,धनुषा,3,स्वतन्त्र,त्रिभुज,"""हरि नारायण यादव""|""हरि"" धनुषा|""हरि"" 3|धनुषा 3 चुनाव|#हरि|""हरि नारायण यादव"" धनुषा"
रघुबीर महासेठ,धनुषा,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""रघुबीर महासेठ""|""रघुबीर"" धनुषा|""रघुबीर"" 4|धनुषा 4 चुनाव|#रघुबीर|""रघुबीर महासेठ"" धनुषा"
महेन्द्र यादव,धनुषा,4,नेपाली काँग्रेस,रुख,"""महेन्द्र यादव""|""महेन्द्र"" धनुषा|""महेन्द्र"" 4|धनुषा 4 चुनाव|#महेन्द्र|""महेन्द्र यादव"" धनुषा"
संजय कुमार महतो,धनुषा,4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""संजय कुमार महतो""|""संजय"" धनुषा|""संजय"" 4|धनुषा 4 चुनाव|#संजय|""संजय कुमार महतो"" धनुषा"
राज  किशोर  महतो ,धनुषा,4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""राज  किशोर  महतो ""|""राज"" धनुषा|""राज"" 4|धनुषा 4 चुनाव|#राज|""राज  किशोर  महतो "" धनुषा"
राम वावु साह हलुवाइ,धनुषा,4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""राम वावु साह हलुवाइ""|""राम"" धनुषा|""राम"" 4|धनुषा 4 चुनाव|#राम|""राम वावु साह हलुवाइ"" धनुषा"
कृष्ण चन्द्र प्रसाद साह,धनुषा,4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""कृष्ण चन्द्र प्रसाद साह""|""कृष्ण"" धनुषा|""कृष्ण"" 4|धनुषा 4 चुनाव|#कृष्ण|""कृष्ण चन्द्र प्रसाद साह"" धनुषा"
इन्द्रजित कुमार यादब,धनुषा,4,जनमत पार्टी,लाउड स्पिकर,"""इन्द्रजित कुमार यादब""|""इन्द्रजित"" धनुषा|""इन्द्रजित"" 4|धनुषा 4 चुनाव|#इन्द्रजित|""इन्द्रजित कुमार यादब"" धनुषा"
