Name,District,ConstNo,Party,Keywords,FileSaveName,DistrictEng
डिल्लीराम घिमिरे,झापा,3,नेपाली कम्युनिष्ट पार्टी,"""डिल्लीराम घिमिरे"" झापा 3",jhapa_3.csv,Jhapa
प्रकाश पाठक,झापा,3,राष्ट्रिय स्वतन्त्र पार्टी,"""प्रकाश पाठक"" झापा 3",jhapa_3.csv,Jhapa
राजेन्द्र प्रसाद लिङ्देन,झापा,3,राष्ट्रिय प्रजातन्त्र पार्टी,"""राजेन्द्र प्रसाद लिङ्देन"" झापा 3",jhapa_3.csv,Jhapa
कर्ण लाल राजवंशि,झापा,3,"जनता समाजवादी पार्टी, नेपाल","""कर्ण लाल राजवंशि"" झापा 3",jhapa_3.csv,Jhapa
हरसलाल राजवंशी,झापा,3,जनमत पार्टी,"""हरसलाल राजवंशी"" झापा 3",jhapa_3.csv,Jhapa
धर्म लक्ष्मी दुवाल (लघु),झापा,3,नेपाल मजदुर किसान पार्टी,"""धर्म लक्ष्मी दुवाल (लघु)"" झापा 3",jhapa_3.csv,Jhapa
याम कुमार श्रेष्ठ,झापा,3,मंगोल नेशनल अर्गनाइजेसन,"""याम कुमार श्रेष्ठ"" झापा 3",jhapa_3.csv,Jhapa
चन्द्रकला सावा,झापा,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""चन्द्रकला सावा"" झापा 3",jhapa_3.csv,Jhapa
जयेन मगर,झापा,3,नेशनल रिपब्लिक नेपाल,"""जयेन मगर"" झापा 3",jhapa_3.csv,Jhapa
दिपक तिम्सिना,झापा,3,श्रम संस्कृति पार्टी,"""दिपक तिम्सिना"" झापा 3",jhapa_3.csv,Jhapa
सन्तोष कटुवाल,झापा,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""सन्तोष कटुवाल"" झापा 3",jhapa_3.csv,Jhapa
श्यामकृष्ण पाठक,झापा,3,उज्यालो नेपाल पार्टी,"""श्यामकृष्ण पाठक"" झापा 3",jhapa_3.csv,Jhapa
