CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
श्याम बहादुर राई,Shyam Bahadur Rai,ललितपुर,lalitpur,3
सन्दन थापा मगर,Sandan Thapa Magar,ललितपुर,lalitpur,3
सबिन कुमार खड्का,Sabin Kumar Khadka,ललितपुर,lalitpur,3
कुसुम देवी थापा,Kusum Devi Thapa,रुकुम (पूर्वी भाग),rukum_east,1
चन्द्र प्रसाद शाही,Chandra Prasad Shahi,रुकुम (पूर्वी भाग),rukum_east,1
जुद्ध बहादुर बुढा मगर,Juddh Bahadur Budha Magar,रुकुम (पूर्वी भाग),rukum_east,1
ज्योति रोका मगर,Jyoti Roka Magar,रुकुम (पूर्वी भाग),rukum_east,1
धर्म कुमार बुढा,Dharm Kumar Budha,रुकुम (पूर्वी भाग),rukum_east,1
पुष्प कमल दाहाल प्रचण्ड,Pushpa Kamal Dahal Prachanda,रुकुम (पूर्वी भाग),rukum_east,1
रोषण शाह,Roshan Shah,रुकुम (पूर्वी भाग),rukum_east,1
लखन कुमार थापा,Lakhan Kumar Thapa,रुकुम (पूर्वी भाग),rukum_east,1
लिलामणी गौतम,Lilamani Gautam,रुकुम (पूर्वी भाग),rukum_east,1
सन्दिप पुन,Sandip Pun,रुकुम (पूर्वी भाग),rukum_east,1
सिर बहादुर बुढा,Sir Bahadur Budha,रुकुम (पूर्वी भाग),rukum_east,1
अजय ओझा,Ajay Ojha,सर्लाही,sarlahi,4
अमनिश कुमार यादव,Amnish Kumar Yadav,सर्लाही,sarlahi,4
अमरेश कुमार सिह,Amresh Kumar Sih,सर्लाही,sarlahi,4
अमित रंजन सिंह,Amit Ranjan Singh,सर्लाही,sarlahi,4
अम्बुज प्रसाद साह,Ambuj Prasad Sah,सर्लाही,sarlahi,4
अरविन्द कुमार ठाकुर,Arvind Kumar Thakur,सर्लाही,sarlahi,4
उदय कान्‍त मिश्र,Uday Kant Mishra,सर्लाही,sarlahi,4
कमलेश मण्डल,Kamlesh Mandal,सर्लाही,sarlahi,4
गगन कुमार थापा,Gagan Kumar Thapa,सर्लाही,sarlahi,4
गनेश प्रसाद सिंह,Ganesh Prasad Singh,सर्लाही,sarlahi,4
चुन चुन भण्डारी,Chun Chun Bhandari,सर्लाही,sarlahi,4
छोटेलाल कुमार यादव,Chhotelal Kumar Yadav,सर्लाही,sarlahi,4
जय शंकर सिंह कुशवाहा,Jay Shankar Singh Kushwaha,सर्लाही,sarlahi,4
ज्ञानेन्द्र प्रसाद कुशवाहा,Gyanendra Prasad Kushwaha,सर्लाही,sarlahi,4
धिरज ठाकुर,Dhiraj Thakur,सर्लाही,sarlahi,4
नरेन्द्र प्रसाद सिंह,Narendra Prasad Singh,सर्लाही,sarlahi,4
निलेश कुमार यादव,Nilesh Kumar Yadav,सर्लाही,sarlahi,4
पीताम्वर सिंह कुशवाहा,Pitambar Singh Kushwaha,सर्लाही,sarlahi,4
प्रदीप कुमार झा,Pradip Kumar Jha,सर्लाही,sarlahi,4
मधुमाला कुमारी यादव,Madhumala Kumari Yadav,सर्लाही,sarlahi,4
महेश मंडल धानुक,Mahesh Mandal Dhanuk,सर्लाही,sarlahi,4
मुकेश प्रसाद कुशवाहा,Mukesh Prasad Kushwaha,सर्लाही,sarlahi,4
रजनिस राय,Rajnis Ray,सर्लाही,sarlahi,4
रमण मिश्र,Raman Mishra,सर्लाही,sarlahi,4
राकेश कुमार मिश्र,Rakesh Kumar Mishra,सर्लाही,sarlahi,4
राम प्रवेश यादव,Ram Pravesh Yadav,सर्लाही,sarlahi,4
रामचरित्र सहनी,Ramcharitra Sahani,सर्लाही,sarlahi,4
रामनाथ  प्रसाद  साह ,Ramnath Prasad Sah,सर्लाही,sarlahi,4
रामेश्‍वर राय यादव,Rameshwar Ray Yadav,सर्लाही,sarlahi,4
रिंकी कुमारी साह,Rinki Kumari Sah,सर्लाही,sarlahi,4
लखेन्द्र महतो,Lakhendra Mahato,सर्लाही,sarlahi,4
विक्रम यादव,Vikram Yadav,सर्लाही,sarlahi,4
शिव प्रसाद साह,Shiv Prasad Sah,सर्लाही,sarlahi,4
शुलपानी झा,Shulpani Jha,सर्लाही,sarlahi,4
संजिव कुमार पासवान,Sanjiv Kumar Paswan,सर्लाही,sarlahi,4
संतोष कुमार निषाद,Santosh Kumar Nishad,सर्लाही,sarlahi,4
सचित्र सहनी,Sachitra Sahani,सर्लाही,sarlahi,4
हरिनन्दन कुमार रंजन,Harinandan Kumar Ranjan,सर्लाही,sarlahi,4
ओम विक्रम पन्त,Om Vikram Pant,तनहुँ,tanahu,1
काशीराम गुरुङ,Kashiram Gurung,तनहुँ,tanahu,1
गोविन्द भट्टराई,Govind Bhattarai,तनहुँ,tanahu,1
चिजा माया अधिकारी,Chija Maya Adhikari,तनहुँ,tanahu,1
दिपक राज जोशी,Deepak Raj Joshi,तनहुँ,tanahu,1
प्रेम बहादुर थापा,Prem Bahadur Thapa,तनहुँ,tanahu,1
भगवती न्यौपाने,Bhagwati Nyaupane,तनहुँ,tanahu,1
मन्‍जिल राना,Manjil Rana,तनहुँ,tanahu,1
याम बहादुर आले,Yam Bahadur Ale,तनहुँ,tanahu,1
राम लक्ष्मी दुवाल,Ram Lakshmi Duwal,तनहुँ,tanahu,1
रामदत्त जोशी,Ramdatta Joshi,तनहुँ,tanahu,1
लेख नाथ खनाल,Lekh Nath Khanal,तनहुँ,tanahu,1
विद्या नाथ ढकाल,Vidya Nath Dhakal,तनहुँ,tanahu,1
सन्देश रानाभाट लौडारी,Sandesh Ranabhat Laudari,तनहुँ,tanahu,1
सुमन थापा मगर,Suman Thapa Magar,तनहुँ,tanahu,1
स्वर्णिम वाग्ले,Swarnim Wagle,तनहुँ,tanahu,1
महेश बस्नेत,Mahesh Basnet,भक्तपुर,bhaktapur,2
कविर राणा,Kabir Rana,भक्तपुर,bhaktapur,2
राम प्रसाद सापकोटा,Ram Prasad Sapkota,भक्तपुर,bhaktapur,2
